Year,MonthNum,Date,fuel_group,new_private_cars
2018,1,2018-01-01,Other,0.0
2018,1,2018-01-01,Hybrid (HEV),1819.0
2018,1,2018-01-01,Diesel,14407.0
2018,1,2018-01-01,Battery Electric (BEV),77.0
2018,2,2018-02-01,Battery Electric (BEV),78.0
2018,2,2018-02-01,Diesel,9134.0
2018,2,2018-02-01,Hybrid (HEV),856.0
2018,2,2018-02-01,Other,0.0
2018,2,2018-02-01,Petrol,6355.0
2018,2,2018-02-01,Plug-in Hybrid (PHEV),78.0
2018,3,2018-03-01,Plug-in Hybrid (PHEV),85.0
2018,3,2018-03-01,Petrol,6030.0
2018,3,2018-03-01,Other,0.0
2018,3,2018-03-01,Diesel,9206.0
2018,3,2018-03-01,Battery Electric (BEV),74.0
2018,3,2018-03-01,Hybrid (HEV),693.0
2018,4,2018-04-01,Battery Electric (BEV),153.0
2018,4,2018-04-01,Diesel,6355.0
2018,4,2018-04-01,Hybrid (HEV),491.0
2018,4,2018-04-01,Other,0.0
2018,4,2018-04-01,Petrol,4456.0
2018,4,2018-04-01,Plug-in Hybrid (PHEV),102.0
2018,5,2018-05-01,Petrol,3820.0
2018,5,2018-05-01,Plug-in Hybrid (PHEV),58.0
2018,5,2018-05-01,Hybrid (HEV),491.0
2018,5,2018-05-01,Diesel,4885.0
2018,5,2018-05-01,Battery Electric (BEV),108.0
2018,5,2018-05-01,Other,0.0
2018,6,2018-06-01,Battery Electric (BEV),34.0
2018,6,2018-06-01,Diesel,2009.0
2018,6,2018-06-01,Hybrid (HEV),142.0
2018,6,2018-06-01,Other,0.0
2018,6,2018-06-01,Petrol,1514.0
2018,6,2018-06-01,Plug-in Hybrid (PHEV),17.0
2018,7,2018-07-01,Other,0.0
2018,7,2018-07-01,Battery Electric (BEV),292.0
2018,7,2018-07-01,Diesel,10056.0
2018,7,2018-07-01,Hybrid (HEV),1478.0
2018,7,2018-07-01,Petrol,8792.0
2018,7,2018-07-01,Plug-in Hybrid (PHEV),125.0
2018,8,2018-08-01,Petrol,2894.0
2018,8,2018-08-01,Other,0.0
2018,8,2018-08-01,Plug-in Hybrid (PHEV),62.0
2018,8,2018-08-01,Diesel,4176.0
2018,8,2018-08-01,Battery Electric (BEV),193.0
2018,8,2018-08-01,Hybrid (HEV),356.0
2018,9,2018-09-01,Plug-in Hybrid (PHEV),53.0
2018,9,2018-09-01,Petrol,1554.0
2018,9,2018-09-01,Other,0.0
2018,9,2018-09-01,Diesel,2538.0
2018,9,2018-09-01,Battery Electric (BEV),119.0
2018,9,2018-09-01,Hybrid (HEV),133.0
2018,10,2018-10-01,Battery Electric (BEV),58.0
2018,10,2018-10-01,Diesel,1661.0
2018,10,2018-10-01,Hybrid (HEV),97.0
2018,10,2018-10-01,Other,0.0
2018,10,2018-10-01,Petrol,1030.0
2018,10,2018-10-01,Plug-in Hybrid (PHEV),28.0
2018,11,2018-11-01,Battery Electric (BEV),25.0
2018,11,2018-11-01,Diesel,947.0
2018,11,2018-11-01,Hybrid (HEV),60.0
2018,11,2018-11-01,Other,0.0
2018,11,2018-11-01,Petrol,586.0
2018,11,2018-11-01,Plug-in Hybrid (PHEV),29.0
2018,12,2018-12-01,Other,0.0
2018,12,2018-12-01,Hybrid (HEV),14.0
2018,12,2018-12-01,Petrol,308.0
2018,12,2018-12-01,Battery Electric (BEV),11.0
2018,12,2018-12-01,Diesel,440.0
2018,12,2018-12-01,Plug-in Hybrid (PHEV),5.0
2019,1,2019-01-01,Plug-in Hybrid (PHEV),225.0
2019,1,2019-01-01,Other,0.0
2019,1,2019-01-01,Petrol,8882.0
2019,1,2019-01-01,Diesel,10814.0
2019,1,2019-01-01,Battery Electric (BEV),607.0
2019,1,2019-01-01,Hybrid (HEV),1751.0
2019,2,2019-02-01,Battery Electric (BEV),375.0
2019,2,2019-02-01,Diesel,6849.0
2019,2,2019-02-01,Hybrid (HEV),1202.0
2019,2,2019-02-01,Other,0.0
2019,2,2019-02-01,Petrol,5574.0
2019,2,2019-02-01,Plug-in Hybrid (PHEV),178.0
2019,3,2019-03-01,Plug-in Hybrid (PHEV),149.0
2019,3,2019-03-01,Other,0.0
2019,3,2019-03-01,Petrol,5924.0
2019,3,2019-03-01,Diesel,6902.0
2019,3,2019-03-01,Battery Electric (BEV),321.0
2019,3,2019-03-01,Hybrid (HEV),1108.0
2019,4,2019-04-01,Battery Electric (BEV),307.0
2019,4,2019-04-01,Diesel,6310.0
2019,4,2019-04-01,Hybrid (HEV),1230.0
2019,4,2019-04-01,Other,0.0
2019,4,2019-04-01,Petrol,5814.0
2019,4,2019-04-01,Plug-in Hybrid (PHEV),133.0
2019,5,2019-05-01,Plug-in Hybrid (PHEV),80.0
2019,5,2019-05-01,Petrol,3785.0
2019,5,2019-05-01,Other,0.0
2019,5,2019-05-01,Hybrid (HEV),847.0
2019,5,2019-05-01,Battery Electric (BEV),257.0
2019,5,2019-05-01,Diesel,4157.0
2019,6,2019-06-01,Battery Electric (BEV),76.0
2019,6,2019-06-01,Diesel,1970.0
2019,6,2019-06-01,Hybrid (HEV),259.0
2019,6,2019-06-01,Other,0.0
2019,6,2019-06-01,Petrol,1508.0
2019,6,2019-06-01,Plug-in Hybrid (PHEV),45.0
2019,7,2019-07-01,Plug-in Hybrid (PHEV),205.0
2019,7,2019-07-01,Petrol,8256.0
2019,7,2019-07-01,Other,0.0
2019,7,2019-07-01,Hybrid (HEV),2001.0
2019,7,2019-07-01,Battery Electric (BEV),512.0
2019,7,2019-07-01,Diesel,7767.0
2019,8,2019-08-01,Battery Electric (BEV),303.0
2019,8,2019-08-01,Diesel,3522.0
2019,8,2019-08-01,Hybrid (HEV),646.0
2019,8,2019-08-01,Other,0.0
2019,8,2019-08-01,Petrol,2616.0
2019,8,2019-08-01,Plug-in Hybrid (PHEV),115.0
2019,9,2019-09-01,Plug-in Hybrid (PHEV),67.0
2019,9,2019-09-01,Other,0.0
2019,9,2019-09-01,Petrol,1468.0
2019,9,2019-09-01,Diesel,2144.0
2019,9,2019-09-01,Battery Electric (BEV),146.0
2019,9,2019-09-01,Hybrid (HEV),279.0
2019,10,2019-10-01,Battery Electric (BEV),215.0
2019,10,2019-10-01,Diesel,1611.0
2019,10,2019-10-01,Hybrid (HEV),148.0
2019,10,2019-10-01,Other,0.0
2019,10,2019-10-01,Petrol,1166.0
2019,10,2019-10-01,Plug-in Hybrid (PHEV),74.0
2019,11,2019-11-01,Plug-in Hybrid (PHEV),39.0
2019,11,2019-11-01,Petrol,510.0
2019,11,2019-11-01,Other,0.0
2019,11,2019-11-01,Hybrid (HEV),79.0
2019,11,2019-11-01,Battery Electric (BEV),194.0
2019,11,2019-11-01,Diesel,854.0
2019,12,2019-12-01,Battery Electric (BEV),130.0
2019,12,2019-12-01,Diesel,301.0
2019,12,2019-12-01,Hybrid (HEV),29.0
2019,12,2019-12-01,Other,0.0
2019,12,2019-12-01,Petrol,258.0
2019,12,2019-12-01,Plug-in Hybrid (PHEV),11.0
2020,1,2020-01-01,Plug-in Hybrid (PHEV),428.0
2020,1,2020-01-01,Other,0.0
2020,1,2020-01-01,Petrol,7889.0
2020,1,2020-01-01,Diesel,8468.0
2020,1,2020-01-01,Battery Electric (BEV),579.0
2020,1,2020-01-01,Hybrid (HEV),3301.0
2020,2,2020-02-01,Battery Electric (BEV),439.0
2020,2,2020-02-01,Diesel,5859.0
2020,2,2020-02-01,Hybrid (HEV),1675.0
2020,2,2020-02-01,Other,0.0
2020,2,2020-02-01,Petrol,5020.0
2020,2,2020-02-01,Plug-in Hybrid (PHEV),270.0
2020,3,2020-03-01,Plug-in Hybrid (PHEV),249.0
2020,3,2020-03-01,Other,0.0
2020,3,2020-03-01,Petrol,3734.0
2020,3,2020-03-01,Diesel,4910.0
2020,3,2020-03-01,Battery Electric (BEV),477.0
2020,3,2020-03-01,Hybrid (HEV),869.0
2020,4,2020-04-01,Battery Electric (BEV),100.0
2020,4,2020-04-01,Diesel,692.0
2020,4,2020-04-01,Hybrid (HEV),96.0
2020,4,2020-04-01,Other,0.0
2020,4,2020-04-01,Petrol,414.0
2020,4,2020-04-01,Plug-in Hybrid (PHEV),36.0
2020,5,2020-05-01,Petrol,471.0
2020,5,2020-05-01,Battery Electric (BEV),147.0
2020,5,2020-05-01,Diesel,664.0
2020,5,2020-05-01,Hybrid (HEV),123.0
2020,5,2020-05-01,Other,0.0
2020,5,2020-05-01,Plug-in Hybrid (PHEV),85.0
2020,6,2020-06-01,Petrol,836.0
2020,6,2020-06-01,Other,0.0
2020,6,2020-06-01,Plug-in Hybrid (PHEV),62.0
2020,6,2020-06-01,Diesel,1044.0
2020,6,2020-06-01,Battery Electric (BEV),98.0
2020,6,2020-06-01,Hybrid (HEV),149.0
2020,7,2020-07-01,Battery Electric (BEV),520.0
2020,7,2020-07-01,Diesel,6440.0
2020,7,2020-07-01,Hybrid (HEV),2003.0
2020,7,2020-07-01,Other,0.0
2020,7,2020-07-01,Petrol,5829.0
2020,7,2020-07-01,Plug-in Hybrid (PHEV),537.0
2020,8,2020-08-01,Plug-in Hybrid (PHEV),310.0
2020,8,2020-08-01,Petrol,2716.0
2020,8,2020-08-01,Other,0.0
2020,8,2020-08-01,Hybrid (HEV),815.0
2020,8,2020-08-01,Diesel,3130.0
2020,8,2020-08-01,Battery Electric (BEV),389.0
2020,9,2020-09-01,Battery Electric (BEV),596.0
2020,9,2020-09-01,Diesel,2161.0
2020,9,2020-09-01,Hybrid (HEV),643.0
2020,9,2020-09-01,Other,0.0
2020,9,2020-09-01,Petrol,2127.0
2020,9,2020-09-01,Plug-in Hybrid (PHEV),220.0
2020,10,2020-10-01,Plug-in Hybrid (PHEV),135.0
2020,10,2020-10-01,Petrol,1576.0
2020,10,2020-10-01,Other,0.0
2020,10,2020-10-01,Hybrid (HEV),380.0
2020,10,2020-10-01,Diesel,1699.0
2020,10,2020-10-01,Battery Electric (BEV),399.0
2020,11,2020-11-01,Battery Electric (BEV),111.0
2020,11,2020-11-01,Diesel,664.0
2020,11,2020-11-01,Hybrid (HEV),137.0
2020,11,2020-11-01,Other,0.0
2020,11,2020-11-01,Petrol,507.0
2020,11,2020-11-01,Plug-in Hybrid (PHEV),49.0
2020,12,2020-12-01,Plug-in Hybrid (PHEV),21.0
2020,12,2020-12-01,Petrol,388.0
2020,12,2020-12-01,Other,0.0
2020,12,2020-12-01,Diesel,477.0
2020,12,2020-12-01,Battery Electric (BEV),85.0
2020,12,2020-12-01,Hybrid (HEV),61.0
2021,1,2021-01-01,Battery Electric (BEV),739.0
2021,1,2021-01-01,Diesel,5801.0
2021,1,2021-01-01,Hybrid (HEV),4015.0
2021,1,2021-01-01,Other,9.0
2021,1,2021-01-01,Petrol,5557.0
2021,1,2021-01-01,Plug-in Hybrid (PHEV),827.0
2021,2,2021-02-01,Petrol,3610.0
2021,2,2021-02-01,Plug-in Hybrid (PHEV),715.0
2021,2,2021-02-01,Other,0.0
2021,2,2021-02-01,Hybrid (HEV),2272.0
2021,2,2021-02-01,Diesel,4505.0
2021,2,2021-02-01,Battery Electric (BEV),570.0
2021,3,2021-03-01,Battery Electric (BEV),1005.0
2021,3,2021-03-01,Diesel,3960.0
2021,3,2021-03-01,Hybrid (HEV),1765.0
2021,3,2021-03-01,Other,0.0
2021,3,2021-03-01,Petrol,3192.0
2021,3,2021-03-01,Plug-in Hybrid (PHEV),750.0
2021,4,2021-04-01,Plug-in Hybrid (PHEV),739.0
2021,4,2021-04-01,Petrol,2491.0
2021,4,2021-04-01,Other,0.0
2021,4,2021-04-01,Diesel,3134.0
2021,4,2021-04-01,Battery Electric (BEV),712.0
2021,4,2021-04-01,Hybrid (HEV),1138.0
2021,5,2021-05-01,Battery Electric (BEV),652.0
2021,5,2021-05-01,Diesel,2632.0
2021,5,2021-05-01,Hybrid (HEV),1112.0
2021,5,2021-05-01,Other,49.0
2021,5,2021-05-01,Petrol,2323.0
2021,5,2021-05-01,Plug-in Hybrid (PHEV),569.0
2021,6,2021-06-01,Petrol,1796.0
2021,6,2021-06-01,Plug-in Hybrid (PHEV),331.0
2021,6,2021-06-01,Other,27.0
2021,6,2021-06-01,Hybrid (HEV),670.0
2021,6,2021-06-01,Diesel,1649.0
2021,6,2021-06-01,Battery Electric (BEV),507.0
2021,7,2021-07-01,Battery Electric (BEV),1464.0
2021,7,2021-07-01,Diesel,6073.0
2021,7,2021-07-01,Hybrid (HEV),3750.0
2021,7,2021-07-01,Other,138.0
2021,7,2021-07-01,Petrol,6929.0
2021,7,2021-07-01,Plug-in Hybrid (PHEV),1878.0
2021,8,2021-08-01,Plug-in Hybrid (PHEV),771.0
2021,8,2021-08-01,Petrol,2793.0
2021,8,2021-08-01,Other,27.0
2021,8,2021-08-01,Hybrid (HEV),1311.0
2021,8,2021-08-01,Diesel,2716.0
2021,8,2021-08-01,Battery Electric (BEV),945.0
2021,9,2021-09-01,Battery Electric (BEV),876.0
2021,9,2021-09-01,Diesel,1871.0
2021,9,2021-09-01,Hybrid (HEV),1023.0
2021,9,2021-09-01,Other,17.0
2021,9,2021-09-01,Petrol,2056.0
2021,9,2021-09-01,Plug-in Hybrid (PHEV),511.0
2021,10,2021-10-01,Petrol,1197.0
2021,10,2021-10-01,Other,8.0
2021,10,2021-10-01,Plug-in Hybrid (PHEV),355.0
2021,10,2021-10-01,Diesel,1197.0
2021,10,2021-10-01,Battery Electric (BEV),619.0
2021,10,2021-10-01,Hybrid (HEV),506.0
2021,11,2021-11-01,Battery Electric (BEV),325.0
2021,11,2021-11-01,Diesel,636.0
2021,11,2021-11-01,Hybrid (HEV),302.0
2021,11,2021-11-01,Other,13.0
2021,11,2021-11-01,Petrol,750.0
2021,11,2021-11-01,Plug-in Hybrid (PHEV),141.0
2021,12,2021-12-01,Plug-in Hybrid (PHEV),39.0
2021,12,2021-12-01,Petrol,256.0
2021,12,2021-12-01,Other,4.0
2021,12,2021-12-01,Hybrid (HEV),171.0
2021,12,2021-12-01,Diesel,222.0
2021,12,2021-12-01,Battery Electric (BEV),140.0
2022,1,2022-01-01,Battery Electric (BEV),1813.0
2022,1,2022-01-01,Diesel,3116.0
2022,1,2022-01-01,Hybrid (HEV),4850.0
2022,1,2022-01-01,Other,186.0
2022,1,2022-01-01,Petrol,4342.0
2022,1,2022-01-01,Plug-in Hybrid (PHEV),1507.0
2022,2,2022-02-01,Plug-in Hybrid (PHEV),1032.0
2022,2,2022-02-01,Petrol,3544.0
2022,2,2022-02-01,Other,215.0
2022,2,2022-02-01,Hybrid (HEV),2930.0
2022,2,2022-02-01,Diesel,4093.0
2022,2,2022-02-01,Battery Electric (BEV),1829.0
2022,3,2022-03-01,Battery Electric (BEV),1746.0
2022,3,2022-03-01,Diesel,3400.0
2022,3,2022-03-01,Hybrid (HEV),2625.0
2022,3,2022-03-01,Other,110.0
2022,3,2022-03-01,Petrol,3095.0
2022,3,2022-03-01,Plug-in Hybrid (PHEV),896.0
2022,4,2022-04-01,Plug-in Hybrid (PHEV),728.0
2022,4,2022-04-01,Petrol,3034.0
2022,4,2022-04-01,Other,72.0
2022,4,2022-04-01,Hybrid (HEV),2120.0
2022,4,2022-04-01,Diesel,2731.0
2022,4,2022-04-01,Battery Electric (BEV),1360.0
2022,5,2022-05-01,Battery Electric (BEV),1077.0
2022,5,2022-05-01,Diesel,2079.0
2022,5,2022-05-01,Hybrid (HEV),1275.0
2022,5,2022-05-01,Other,27.0
2022,5,2022-05-01,Petrol,2212.0
2022,5,2022-05-01,Plug-in Hybrid (PHEV),450.0
2022,6,2022-06-01,Petrol,1238.0
2022,6,2022-06-01,Other,15.0
2022,6,2022-06-01,Plug-in Hybrid (PHEV),210.0
2022,6,2022-06-01,Diesel,1313.0
2022,6,2022-06-01,Battery Electric (BEV),484.0
2022,6,2022-06-01,Hybrid (HEV),514.0
