AtcoCode,CommonName,Street,stop_category,StopType,Latitude,Longitude,Easting,Northing,AdministrativeAreaRef,Status
8360B301221,Knockanena,,Bus stop,BCT,52.971734,-8.672324,554841,691431,836,active
8360GA00012,Killimer,,Ferry,FER,52.61476,-9.38034,506524,652396,836,active
8360GA00013,Doolin Pier,,Ferry,FER,53.01523,-9.40624,505642,696984,836,active
8360B336621,Montpelier,,Bus stop,BCT,52.7502409,-8.4965663,566476,666691,836,active
8360B336741,Montpelier,,Bus stop,BCT,52.7502671,-8.4967444,566464,666694,836,active
8360B109931,The Square,,Bus stop,BCT,52.679846,-9.645549,488731,660014,836,active
8360B10993,Kilkee,,Bus stop,BCT,52.679846,-9.645549,488731,660014,836,active
836000004,Knockerra,,Bus stop,BCT,52.655702,-9.397774,505432,656974,836,active
836000008,Killimer,,Bus stop,BCT,52.6173,-9.38189,506425,652681,836,active
836000009,Ballynacally,,Bus stop,BCT,52.71902,-9.06698,527916,663636,836,active
836000005,Gort Road Business Park,Gort Road Industrial Estate,Bus stop,BCT,52.86072,-8.98256,533834,679320,836,active
836000006,Woodhaven,,Bus stop,BCT,52.83089,-8.99592,532889,676013,836,active
836000010,Woodhaven,Kilrush Road,Bus stop,BCT,52.83145,-8.995,532952,676075,836,active
836000012,Lisheen,,Bus stop,BCT,52.75523,-9.04336,529570,667641,836,active
836000011,Drumquin,,Bus stop,BCT,52.76743,-9.02481,530841,668980,836,active
836000007,Killimer,,Bus stop,BCT,52.61725,-9.381241,506469,652675,836,active
8360LL10530,Tesco Kilrush,,Bus stop,BCT,52.642727,-9.477594,500002,655638,836,active
836000013,Broadford,,Bus stop,BCT,52.803701,-8.633278,557299,672711,836,active
836000014,Saint Patrick's Church,,Bus stop,BCT,52.840522,-8.670903,554800,676831,836,active
836000015,Hillcrest Grove,,Bus stop,BCT,52.803507,-8.753373,549201,672768,836,active
836000016,Quin,,Bus stop,BCT,52.818326,-8.865719,541645,674502,836,active
836000017,Saint Joseph's GAA,,Bus stop,BCT,52.84088,-8.906849,538905,677045,836,active
836000018,Bunnow,Quin Road,Bus stop,BCT,52.838645,-8.963072,535114,676846,836,active
836000019,Clare Marts,Quin Road,Bus stop,BCT,52.839502,-8.973298,534426,676951,836,active
836000020,Bunnow,Quin Road,Bus stop,BCT,52.838673,-8.964116,535043,676850,836,active
836000021,Quin,,Bus stop,BCT,52.818373,-8.865774,541642,674507,836,active
836000022,Hillcrest Grove,,Bus stop,BCT,52.803708,-8.753285,549207,672790,836,active
836000023,Saint Patrick's Church,,Bus stop,BCT,52.840559,-8.670878,554802,676835,836,active
836000024,Broadford,,Bus stop,BCT,52.803528,-8.633053,557314,672692,836,active
8360B604221,Manusmore,,Bus stop,BCT,52.798082,-8.923993,537689,672298,836,active
8360B604231,Manusmore,,Bus stop,BCT,52.797853,-8.92399,537688,672273,836,active
836000025,Lakyle School,,Bus stop,BCT,52.953351,-8.362189,575662,689236,836,active
836000026,Whitegate,Main Street,Bus stop,BCT,52.950457,-8.372895,574941,688917,836,active
836000027,Lakyle School,,Bus stop,BCT,52.953416,-8.362251,575658,689243,836,active
836000028,Cappaduff,,Bus stop,BCT,52.932408,-8.440977,570353,686935,836,active
836000029,Cappaduff,,Bus stop,BCT,52.9324474,-8.4411301,570343,686939,836,active
836000030,Scariff,Market Square,Bus stop,BCT,52.910933,-8.531182,564271,684587,836,active
836000031,Drewsborough,,Bus stop,BCT,52.902325,-8.53921,563724,683633,836,active
836000032,Tuamgraney,,Bus stop,BCT,52.899304,-8.54061,563627,683297,836,active
836000033,Tuamgraney,,Bus stop,BCT,52.8990447,-8.5407981,563614,683269,836,active
836000034,Lismeehan,,Bus stop,BCT,52.87485,-8.703254,552658,680671,836,active
836000035,Tulla,,Bus stop,BCT,52.867162,-8.756115,549090,679852,836,active
836000036,Tulla West,,Bus stop,BCT,52.864445,-8.761096,548752,679553,836,active
836000037,Tulla West,,Bus stop,BCT,52.864462,-8.761229,548743,679555,836,active
836000038,Gort na mBláth,Tulla Road,Bus stop,BCT,52.857928,-8.943449,536464,678974,836,active
836000039,Gort na mBláth,Tulla Road,Bus stop,BCT,52.857985,-8.943539,536458,678980,836,active
836000040,Rosslevan,Tulla Road,Bus stop,BCT,52.856881,-8.950303,536001,678864,836,active
836000041,An Seandún,Tulla Road,Bus stop,BCT,52.855957,-8.95703,535546,678767,836,active
836000042,Newpark,Tulla Road,Bus stop,BCT,52.855938,-8.96076,535295,678768,836,active
836000044,Roslevan,Tulla Road,Bus stop,BCT,52.857373,-8.947487,536191,678916,836,active
836000047,Cappahard,,Bus stop,BCT,52.855908,-8.964029,535075,678768,836,active
836000048,Knockanoura,,Bus stop,BCT,52.854644,-8.969201,534725,678632,836,active
836000049,Cappahard,Knockaderry Grove,Bus stop,BCT,52.855947,-8.965564,534972,678773,836,active
836000050,Knockanoura,,Bus stop,BCT,52.855524,-8.967248,534858,678728,836,active
836000051,Flagmount,,Bus stop,BCT,52.987482,-8.647151,556548,693168,836,active
836000052,Feakle,,Bus stop,BCT,52.926632,-8.646561,556526,686397,836,active
836000053,Digital Hub,,Bus stop,BCT,52.925359,-8.644248,556680,686254,836,active
836000054,Digital Hub,,Bus stop,BCT,52.925598,-8.644043,556694,686280,836,active
836000055,Feakle,,Bus stop,BCT,52.92625,-8.647113,556489,686355,836,active
836000056,Knockanoura,Tulla Road,Bus stop,BCT,52.855444,-8.967705,534827,678719,836,active
8360LL11918,Burren Castle Hotel,,Bus stop,BCT,53.0188875,-9.3157006,511724,697276,836,active
8360LL11919,Ballyvaughan South,,Bus stop,BCT,53.114088,-9.150795,522958,707678,836,active
8360LL11920,Burren Atlantic Hotel,,Bus stop,BCT,53.1183009,-9.1527551,522834,708149,836,active
8360LL11921,Ballyvaughan South,,Bus stop,BCT,53.114068,-9.150671,522966,707675,836,active
8360LL11922,Lisdoonvarna,Main Street,Bus stop,BCT,53.02933,-9.289714,513488,698406,836,active
8360B336861,Smithstown,,Bus stop,BCT,52.71646,-8.870294,541200,663172,836,active
8360B336891,Smithstown,,Bus stop,BCT,52.716386,-8.87027,541202,663164,836,active
8360B337091,Sixmilebridge,,Bus stop,BCT,52.741817,-8.776049,547598,665921,836,active
8360B337271,Sixmilebridge Station,,Bus stop,BCT,52.738296,-8.781801,547205,665533,836,active
8360B337381,Sixmilebridge Station,,Bus stop,BCT,52.738152,-8.78186,547201,665517,836,active
8360B603381,Ballinoosky,,Bus stop,BCT,52.737581,-8.906292,538797,665552,836,active
8360B603391,Ballinoosky,,Bus stop,BCT,52.737438,-8.906328,538795,665536,836,active
8360B603401,Urlan More,,Bus stop,BCT,52.741786,-8.909501,538587,666023,836,active
8360B603411,Urlan More,,Bus stop,BCT,52.741552,-8.909646,538577,665997,836,active
8360B600311,Ennis Bóthar na Trócaire,,Bus stop,BCT,52.843161,-8.978187,534102,677362,836,active
8360LL12154,Vandeleur Garden,,Bus stop,BCT,52.6314834,-9.4768178,500029,654386,836,active
8360LL12155,Moneypoint,,Bus stop,BCT,52.6114352,-9.4353937,502789,652099,836,active
8360LL12156,Knock,,Bus stop,BCT,52.6286979,-9.331429,509865,653885,836,active
8360LL12157,Coolmeen,,Bus stop,BCT,52.6594216,-9.2143187,517850,657163,836,active
8360LL12158,Feagh,,Bus stop,BCT,52.793608,-9.0046581,532242,671874,836,active
8360B603421,Saint Finnachta's School,R470,Bus stop,BCT,52.744169,-8.779738,547352,666185,836,active
8360B603431,Saint Finnachta's School,R470,Bus stop,BCT,52.743717,-8.778273,547450,666134,836,active
8360B603441,Saint Caimin's School,,Bus stop,BCT,52.706082,-8.863882,541619,662012,836,active
8360B603451,Saint Caimin's School,,Bus stop,BCT,52.706673,-8.86449,541579,662079,836,active
8360B603461,Drom Cuilinn,,Bus stop,BCT,52.703255,-8.863452,541645,661697,836,active
8360B603471,Drom Cuilinn,,Bus stop,BCT,52.703274,-8.863004,541675,661699,836,active
8360B603481,Bóthar Síoda,,Bus stop,BCT,52.701808,-8.868714,541287,661541,836,active
8360B603491,Bóthar Síoda,,Bus stop,BCT,52.702038,-8.867126,541395,661565,836,active
8360B603501,Ieverstown,R462,Bus stop,BCT,52.742415,-8.772475,547840,665985,836,active
