Statistic Label,Year,Fuel Type,County of Ownership,Type of Vehicle,Year of Registration,UNIT,VALUE
Kilometres Travelled,2021,Petrol,Co. Dublin,Motor cycles,All years,Million,32
Kilometres Travelled,2021,Petrol,Co. Dublin,Tractors & Machinery,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Dublin,Small PSVs,All years,Million,10
Kilometres Travelled,2021,Petrol,Co. Dublin,Large PSVs,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Dublin,Exempt vehicles,All years,Million,19
Kilometres Travelled,2021,Petrol,Co. Dublin,Other vehicles,All years,Million,16
Kilometres Travelled,2021,Petrol,Co. Kildare,Private cars,All years,Million,415
Kilometres Travelled,2021,Petrol,Co. Kildare,Goods vehicles,All years,Million,1
Kilometres Travelled,2021,Petrol,Co. Kildare,Motor cycles,All years,Million,6
Kilometres Travelled,2021,Petrol,Co. Kildare,Tractors & Machinery,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Kildare,Small PSVs,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Kildare,Large PSVs,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Kildare,Exempt vehicles,All years,Million,2
Kilometres Travelled,2021,Petrol,Co. Kildare,Other vehicles,All years,Million,5
Kilometres Travelled,2021,Petrol,Co. Kilkenny,Private cars,All years,Million,158
Kilometres Travelled,2021,Petrol,Co. Kilkenny,Goods vehicles,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Kilkenny,Motor cycles,All years,Million,3
Kilometres Travelled,2021,Petrol,Co. Kilkenny,Tractors & Machinery,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Kilkenny,Small PSVs,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Kilkenny,Large PSVs,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Kilkenny,Exempt vehicles,All years,Million,1
Kilometres Travelled,2021,Petrol,Co. Kilkenny,Other vehicles,All years,Million,2
Kilometres Travelled,2021,Petrol,Co. Laois,Private cars,All years,Million,111
Kilometres Travelled,2021,Petrol,Co. Laois,Goods vehicles,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Laois,Motor cycles,All years,Million,2
Kilometres Travelled,2021,Petrol,Co. Laois,Tractors & Machinery,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Laois,Small PSVs,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Laois,Large PSVs,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Laois,Exempt vehicles,All years,Million,1
Kilometres Travelled,2021,Petrol,Co. Laois,Other vehicles,All years,Million,1
Kilometres Travelled,2021,Petrol,Co. Longford,Private cars,All years,Million,51
Kilometres Travelled,2021,Petrol,Co. Longford,Goods vehicles,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Longford,Motor cycles,All years,Million,1
Kilometres Travelled,2021,Petrol,Co. Longford,Tractors & Machinery,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Longford,Small PSVs,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Longford,Large PSVs,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Longford,Exempt vehicles,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Longford,Other vehicles,All years,Million,1
Kilometres Travelled,2021,Petrol,Co. Louth,Private cars,All years,Million,190
Kilometres Travelled,2021,Petrol,Co. Louth,Goods vehicles,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Louth,Motor cycles,All years,Million,3
Kilometres Travelled,2021,Petrol,Co. Louth,Tractors & Machinery,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Louth,Small PSVs,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Louth,Large PSVs,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Louth,Exempt vehicles,All years,Million,1
Kilometres Travelled,2021,Petrol,Co. Louth,Other vehicles,All years,Million,2
Kilometres Travelled,2021,Petrol,Co. Meath,Private cars,All years,Million,329
Kilometres Travelled,2021,Petrol,Co. Meath,Goods vehicles,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Meath,Motor cycles,All years,Million,5
Kilometres Travelled,2021,Petrol,Co. Meath,Tractors & Machinery,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Meath,Small PSVs,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Meath,Large PSVs,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Meath,Exempt vehicles,All years,Million,2
Kilometres Travelled,2021,Petrol,Co. Meath,Other vehicles,All years,Million,4
Kilometres Travelled,2021,Petrol,Co. Offaly,Private cars,All years,Million,108
Kilometres Travelled,2021,Petrol,Co. Offaly,Goods vehicles,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Offaly,Motor cycles,All years,Million,2
Kilometres Travelled,2021,Petrol,Co. Offaly,Tractors & Machinery,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Offaly,Small PSVs,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Offaly,Large PSVs,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Offaly,Exempt vehicles,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Offaly,Other vehicles,All years,Million,1
Kilometres Travelled,2021,Petrol,Co. Westmeath,Private cars,All years,Million,126
Kilometres Travelled,2021,Petrol,Co. Westmeath,Goods vehicles,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Westmeath,Motor cycles,All years,Million,2
Kilometres Travelled,2021,Petrol,Co. Westmeath,Tractors & Machinery,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Westmeath,Small PSVs,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Westmeath,Large PSVs,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Westmeath,Exempt vehicles,All years,Million,1
Kilometres Travelled,2021,Petrol,Co. Westmeath,Other vehicles,All years,Million,1
Kilometres Travelled,2021,Petrol,Co. Wexford,Private cars,All years,Million,265
Kilometres Travelled,2021,Petrol,Co. Wexford,Goods vehicles,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Wexford,Motor cycles,All years,Million,4
Kilometres Travelled,2021,Petrol,Co. Wexford,Tractors & Machinery,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Wexford,Small PSVs,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Wexford,Large PSVs,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Wexford,Exempt vehicles,All years,Million,1
Kilometres Travelled,2021,Petrol,Co. Wexford,Other vehicles,All years,Million,3
Kilometres Travelled,2021,Petrol,Co. Wicklow,Private cars,All years,Million,298
Kilometres Travelled,2021,Petrol,Co. Wicklow,Goods vehicles,All years,Million,1
Kilometres Travelled,2021,Petrol,Co. Wicklow,Motor cycles,All years,Million,4
Kilometres Travelled,2021,Petrol,Co. Wicklow,Tractors & Machinery,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Wicklow,Small PSVs,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Wicklow,Large PSVs,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Wicklow,Exempt vehicles,All years,Million,2
Kilometres Travelled,2021,Petrol,Co. Wicklow,Other vehicles,All years,Million,4
Kilometres Travelled,2021,Petrol,Co. Clare,Private cars,All years,Million,221
Kilometres Travelled,2021,Petrol,Co. Clare,Goods vehicles,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Clare,Motor cycles,All years,Million,3
Kilometres Travelled,2021,Petrol,Co. Clare,Tractors & Machinery,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Clare,Small PSVs,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Clare,Large PSVs,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Clare,Exempt vehicles,All years,Million,3
Kilometres Travelled,2021,Petrol,Co. Clare,Other vehicles,All years,Million,2
Kilometres Travelled,2021,Petrol,Co. Cork,Private cars,All years,Million,1085
Kilometres Travelled,2021,Petrol,Co. Cork,Goods vehicles,All years,Million,2
Kilometres Travelled,2021,Petrol,Co. Cork,Motor cycles,All years,Million,14
Kilometres Travelled,2021,Petrol,Co. Cork,Tractors & Machinery,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Cork,Small PSVs,All years,Million,2
Kilometres Travelled,2021,Petrol,Co. Cork,Large PSVs,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Cork,Exempt vehicles,All years,Million,10
Kilometres Travelled,2021,Petrol,Co. Cork,Other vehicles,All years,Million,12
Kilometres Travelled,2021,Petrol,Co. Kerry,Private cars,All years,Million,283
Kilometres Travelled,2021,Petrol,Co. Kerry,Goods vehicles,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Kerry,Motor cycles,All years,Million,3
Kilometres Travelled,2021,Petrol,Co. Kerry,Tractors & Machinery,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Kerry,Small PSVs,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Kerry,Large PSVs,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Kerry,Exempt vehicles,All years,Million,2
Kilometres Travelled,2021,Petrol,Co. Kerry,Other vehicles,All years,Million,3
Kilometres Travelled,2021,Petrol,Co. Limerick,Private cars,All years,Million,349
Kilometres Travelled,2021,Petrol,Co. Limerick,Goods vehicles,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Limerick,Motor cycles,All years,Million,4
Kilometres Travelled,2021,Petrol,Co. Limerick,Tractors & Machinery,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Limerick,Small PSVs,All years,Million,1
Kilometres Travelled,2021,Petrol,Co. Limerick,Large PSVs,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Limerick,Exempt vehicles,All years,Million,3
Kilometres Travelled,2021,Petrol,Co. Limerick,Other vehicles,All years,Million,4
Kilometres Travelled,2021,Petrol,Co. Tipperary,Private cars,All years,Million,273
Kilometres Travelled,2021,Petrol,Co. Tipperary,Goods vehicles,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Tipperary,Motor cycles,All years,Million,4
Kilometres Travelled,2021,Petrol,Co. Tipperary,Tractors & Machinery,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Tipperary,Small PSVs,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Tipperary,Large PSVs,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Tipperary,Exempt vehicles,All years,Million,2
Kilometres Travelled,2021,Petrol,Co. Tipperary,Other vehicles,All years,Million,4
Kilometres Travelled,2021,Petrol,Co. Waterford,Private cars,All years,Million,246
Kilometres Travelled,2021,Petrol,Co. Waterford,Goods vehicles,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Waterford,Motor cycles,All years,Million,4
Kilometres Travelled,2021,Petrol,Co. Waterford,Tractors & Machinery,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Waterford,Small PSVs,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Waterford,Large PSVs,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Waterford,Exempt vehicles,All years,Million,1
Kilometres Travelled,2021,Petrol,Co. Waterford,Other vehicles,All years,Million,2
Kilometres Travelled,2021,Petrol,Co. Galway,Private cars,All years,Million,410
Kilometres Travelled,2021,Petrol,Co. Galway,Goods vehicles,All years,Million,1
Kilometres Travelled,2021,Petrol,Co. Galway,Motor cycles,All years,Million,4
Kilometres Travelled,2021,Petrol,Co. Galway,Tractors & Machinery,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Galway,Small PSVs,All years,Million,1
Kilometres Travelled,2021,Petrol,Co. Galway,Large PSVs,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Galway,Exempt vehicles,All years,Million,5
Kilometres Travelled,2021,Petrol,Co. Galway,Other vehicles,All years,Million,4
Kilometres Travelled,2021,Petrol,Co. Leitrim,Private cars,All years,Million,48
Kilometres Travelled,2021,Petrol,Co. Leitrim,Goods vehicles,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Leitrim,Motor cycles,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Leitrim,Tractors & Machinery,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Leitrim,Small PSVs,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Leitrim,Large PSVs,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Leitrim,Exempt vehicles,All years,Million,1
Kilometres Travelled,2021,Petrol,Co. Leitrim,Other vehicles,All years,Million,1
Kilometres Travelled,2021,Petrol,Co. Mayo,Private cars,All years,Million,199
Kilometres Travelled,2021,Petrol,Co. Mayo,Goods vehicles,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Mayo,Motor cycles,All years,Million,2
Kilometres Travelled,2021,Petrol,Co. Mayo,Tractors & Machinery,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Mayo,Small PSVs,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Mayo,Large PSVs,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Mayo,Exempt vehicles,All years,Million,2
Kilometres Travelled,2021,Petrol,Co. Mayo,Other vehicles,All years,Million,2
Kilometres Travelled,2021,Petrol,Co. Roscommon,Private cars,All years,Million,116
Kilometres Travelled,2021,Petrol,Co. Roscommon,Goods vehicles,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Roscommon,Motor cycles,All years,Million,1
Kilometres Travelled,2021,Petrol,Co. Roscommon,Tractors & Machinery,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Roscommon,Small PSVs,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Roscommon,Large PSVs,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Roscommon,Exempt vehicles,All years,Million,1
Kilometres Travelled,2021,Petrol,Co. Roscommon,Other vehicles,All years,Million,1
Kilometres Travelled,2021,Petrol,Co. Sligo,Private cars,All years,Million,104
Kilometres Travelled,2021,Petrol,Co. Sligo,Goods vehicles,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Sligo,Motor cycles,All years,Million,1
Kilometres Travelled,2021,Petrol,Co. Sligo,Tractors & Machinery,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Sligo,Small PSVs,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Sligo,Large PSVs,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Sligo,Exempt vehicles,All years,Million,1
Kilometres Travelled,2021,Petrol,Co. Sligo,Other vehicles,All years,Million,1
Kilometres Travelled,2021,Petrol,Co. Cavan,Private cars,All years,Million,97
Kilometres Travelled,2021,Petrol,Co. Cavan,Goods vehicles,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Cavan,Motor cycles,All years,Million,1
Kilometres Travelled,2021,Petrol,Co. Cavan,Tractors & Machinery,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Cavan,Small PSVs,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Cavan,Large PSVs,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Cavan,Exempt vehicles,All years,Million,1
Kilometres Travelled,2021,Petrol,Co. Cavan,Other vehicles,All years,Million,1
Kilometres Travelled,2021,Petrol,Co. Donegal,Private cars,All years,Million,211
Kilometres Travelled,2021,Petrol,Co. Donegal,Goods vehicles,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Donegal,Motor cycles,All years,Million,2
Kilometres Travelled,2021,Petrol,Co. Donegal,Tractors & Machinery,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Donegal,Small PSVs,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Donegal,Large PSVs,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Donegal,Exempt vehicles,All years,Million,2
Kilometres Travelled,2021,Petrol,Co. Donegal,Other vehicles,All years,Million,3
Kilometres Travelled,2021,Petrol,Co. Monaghan,Private cars,All years,Million,70
Kilometres Travelled,2021,Petrol,Co. Monaghan,Goods vehicles,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Monaghan,Motor cycles,All years,Million,1
Kilometres Travelled,2021,Petrol,Co. Monaghan,Tractors & Machinery,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Monaghan,Small PSVs,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Monaghan,Large PSVs,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Monaghan,Exempt vehicles,All years,Million,0
Kilometres Travelled,2021,Petrol,Co. Monaghan,Other vehicles,All years,Million,1
Kilometres Travelled,2021,Diesel,Co. Carlow,Private cars,All years,Million,344
Kilometres Travelled,2021,Diesel,Co. Carlow,Goods vehicles,All years,Million,139
Kilometres Travelled,2021,Diesel,Co. Carlow,Motor cycles,All years,Million,0
Kilometres Travelled,2021,Diesel,Co. Carlow,Tractors & Machinery,All years,Million,27
Kilometres Travelled,2021,Diesel,Co. Carlow,Small PSVs,All years,Million,3
Kilometres Travelled,2021,Diesel,Co. Carlow,Large PSVs,All years,Million,2
Kilometres Travelled,2021,Diesel,Co. Carlow,Exempt vehicles,All years,Million,3
Kilometres Travelled,2021,Diesel,Co. Carlow,Other vehicles,All years,Million,6
Kilometres Travelled,2021,Diesel,Co. Dublin,Private cars,All years,Million,3356
Kilometres Travelled,2021,Diesel,Co. Dublin,Goods vehicles,All years,Million,2024
Kilometres Travelled,2021,Diesel,Co. Dublin,Motor cycles,All years,Million,0
Kilometres Travelled,2021,Diesel,Co. Dublin,Tractors & Machinery,All years,Million,25
Kilometres Travelled,2021,Diesel,Co. Dublin,Small PSVs,All years,Million,161
Kilometres Travelled,2021,Diesel,Co. Dublin,Large PSVs,All years,Million,108
Kilometres Travelled,2021,Diesel,Co. Dublin,Exempt vehicles,All years,Million,102
Kilometres Travelled,2021,Diesel,Co. Dublin,Other vehicles,All years,Million,38
Kilometres Travelled,2021,Diesel,Co. Kildare,Private cars,All years,Million,1047
Kilometres Travelled,2021,Diesel,Co. Kildare,Goods vehicles,All years,Million,422
Kilometres Travelled,2021,Diesel,Co. Kildare,Motor cycles,All years,Million,0
Kilometres Travelled,2021,Diesel,Co. Kildare,Tractors & Machinery,All years,Million,37
Kilometres Travelled,2021,Diesel,Co. Kildare,Small PSVs,All years,Million,14
Kilometres Travelled,2021,Diesel,Co. Kildare,Large PSVs,All years,Million,7
Kilometres Travelled,2021,Diesel,Co. Kildare,Exempt vehicles,All years,Million,9
Kilometres Travelled,2021,Diesel,Co. Kildare,Other vehicles,All years,Million,11
Kilometres Travelled,2021,Diesel,Co. Kilkenny,Private cars,All years,Million,528
Kilometres Travelled,2021,Diesel,Co. Kilkenny,Goods vehicles,All years,Million,200
Kilometres Travelled,2021,Diesel,Co. Kilkenny,Motor cycles,All years,Million,0
Kilometres Travelled,2021,Diesel,Co. Kilkenny,Tractors & Machinery,All years,Million,56
Kilometres Travelled,2021,Diesel,Co. Kilkenny,Small PSVs,All years,Million,5
Kilometres Travelled,2021,Diesel,Co. Kilkenny,Large PSVs,All years,Million,8
Kilometres Travelled,2021,Diesel,Co. Kilkenny,Exempt vehicles,All years,Million,7
Kilometres Travelled,2021,Diesel,Co. Kilkenny,Other vehicles,All years,Million,7
Kilometres Travelled,2021,Diesel,Co. Laois,Private cars,All years,Million,457
Kilometres Travelled,2021,Diesel,Co. Laois,Goods vehicles,All years,Million,155
Kilometres Travelled,2021,Diesel,Co. Laois,Motor cycles,All years,Million,0
Kilometres Travelled,2021,Diesel,Co. Laois,Tractors & Machinery,All years,Million,43
Kilometres Travelled,2021,Diesel,Co. Laois,Small PSVs,All years,Million,5
Kilometres Travelled,2021,Diesel,Co. Laois,Large PSVs,All years,Million,4
Kilometres Travelled,2021,Diesel,Co. Laois,Exempt vehicles,All years,Million,3
Kilometres Travelled,2021,Diesel,Co. Laois,Other vehicles,All years,Million,6
Kilometres Travelled,2021,Diesel,Co. Longford,Private cars,All years,Million,234
Kilometres Travelled,2021,Diesel,Co. Longford,Goods vehicles,All years,Million,103
Kilometres Travelled,2021,Diesel,Co. Longford,Motor cycles,All years,Million,0
Kilometres Travelled,2021,Diesel,Co. Longford,Tractors & Machinery,All years,Million,20
Kilometres Travelled,2021,Diesel,Co. Longford,Small PSVs,All years,Million,2
Kilometres Travelled,2021,Diesel,Co. Longford,Large PSVs,All years,Million,2
Kilometres Travelled,2021,Diesel,Co. Longford,Exempt vehicles,All years,Million,3
Kilometres Travelled,2021,Diesel,Co. Longford,Other vehicles,All years,Million,4
Kilometres Travelled,2021,Diesel,Co. Louth,Private cars,All years,Million,543
Kilometres Travelled,2021,Diesel,Co. Louth,Goods vehicles,All years,Million,199
Kilometres Travelled,2021,Diesel,Co. Louth,Motor cycles,All years,Million,0
Kilometres Travelled,2021,Diesel,Co. Louth,Tractors & Machinery,All years,Million,17
Kilometres Travelled,2021,Diesel,Co. Louth,Small PSVs,All years,Million,12
Kilometres Travelled,2021,Diesel,Co. Louth,Large PSVs,All years,Million,4
Kilometres Travelled,2021,Diesel,Co. Louth,Exempt vehicles,All years,Million,5
Kilometres Travelled,2021,Diesel,Co. Louth,Other vehicles,All years,Million,5
Kilometres Travelled,2021,Diesel,Co. Meath,Private cars,All years,Million,1007
Kilometres Travelled,2021,Diesel,Co. Meath,Goods vehicles,All years,Million,406
Kilometres Travelled,2021,Diesel,Co. Meath,Motor cycles,All years,Million,0
Kilometres Travelled,2021,Diesel,Co. Meath,Tractors & Machinery,All years,Million,48
Kilometres Travelled,2021,Diesel,Co. Meath,Small PSVs,All years,Million,20
Kilometres Travelled,2021,Diesel,Co. Meath,Large PSVs,All years,Million,8
Kilometres Travelled,2021,Diesel,Co. Meath,Exempt vehicles,All years,Million,7
Kilometres Travelled,2021,Diesel,Co. Meath,Other vehicles,All years,Million,12
Kilometres Travelled,2021,Diesel,Co. Offaly,Private cars,All years,Million,447
Kilometres Travelled,2021,Diesel,Co. Offaly,Goods vehicles,All years,Million,157
Kilometres Travelled,2021,Diesel,Co. Offaly,Motor cycles,All years,Million,0
Kilometres Travelled,2021,Diesel,Co. Offaly,Tractors & Machinery,All years,Million,39
Kilometres Travelled,2021,Diesel,Co. Offaly,Small PSVs,All years,Million,4
Kilometres Travelled,2021,Diesel,Co. Offaly,Large PSVs,All years,Million,4
Kilometres Travelled,2021,Diesel,Co. Offaly,Exempt vehicles,All years,Million,3
Kilometres Travelled,2021,Diesel,Co. Offaly,Other vehicles,All years,Million,8
Kilometres Travelled,2021,Diesel,Co. Westmeath,Private cars,All years,Million,521
Kilometres Travelled,2021,Diesel,Co. Westmeath,Goods vehicles,All years,Million,192
Kilometres Travelled,2021,Diesel,Co. Westmeath,Motor cycles,All years,Million,0
Kilometres Travelled,2021,Diesel,Co. Westmeath,Tractors & Machinery,All years,Million,33
Kilometres Travelled,2021,Diesel,Co. Westmeath,Small PSVs,All years,Million,6
Kilometres Travelled,2021,Diesel,Co. Westmeath,Large PSVs,All years,Million,3
Kilometres Travelled,2021,Diesel,Co. Westmeath,Exempt vehicles,All years,Million,4
Kilometres Travelled,2021,Diesel,Co. Westmeath,Other vehicles,All years,Million,7
Kilometres Travelled,2021,Diesel,Co. Wexford,Private cars,All years,Million,893
Kilometres Travelled,2021,Diesel,Co. Wexford,Goods vehicles,All years,Million,357
Kilometres Travelled,2021,Diesel,Co. Wexford,Motor cycles,All years,Million,0
Kilometres Travelled,2021,Diesel,Co. Wexford,Tractors & Machinery,All years,Million,69
Kilometres Travelled,2021,Diesel,Co. Wexford,Small PSVs,All years,Million,5
Kilometres Travelled,2021,Diesel,Co. Wexford,Large PSVs,All years,Million,7
Kilometres Travelled,2021,Diesel,Co. Wexford,Exempt vehicles,All years,Million,7
Kilometres Travelled,2021,Diesel,Co. Wexford,Other vehicles,All years,Million,16
Kilometres Travelled,2021,Diesel,Co. Wicklow,Private cars,All years,Million,616
Kilometres Travelled,2021,Diesel,Co. Wicklow,Goods vehicles,All years,Million,218
Kilometres Travelled,2021,Diesel,Co. Wicklow,Motor cycles,All years,Million,0
Kilometres Travelled,2021,Diesel,Co. Wicklow,Tractors & Machinery,All years,Million,26
Kilometres Travelled,2021,Diesel,Co. Wicklow,Small PSVs,All years,Million,7
Kilometres Travelled,2021,Diesel,Co. Wicklow,Large PSVs,All years,Million,4
Kilometres Travelled,2021,Diesel,Co. Wicklow,Exempt vehicles,All years,Million,5
Kilometres Travelled,2021,Diesel,Co. Wicklow,Other vehicles,All years,Million,9
Kilometres Travelled,2021,Diesel,Co. Clare,Private cars,All years,Million,654
Kilometres Travelled,2021,Diesel,Co. Clare,Goods vehicles,All years,Million,212
Kilometres Travelled,2021,Diesel,Co. Clare,Motor cycles,All years,Million,0
Kilometres Travelled,2021,Diesel,Co. Clare,Tractors & Machinery,All years,Million,48
Kilometres Travelled,2021,Diesel,Co. Clare,Small PSVs,All years,Million,7
Kilometres Travelled,2021,Diesel,Co. Clare,Large PSVs,All years,Million,5
Kilometres Travelled,2021,Diesel,Co. Clare,Exempt vehicles,All years,Million,7
Kilometres Travelled,2021,Diesel,Co. Clare,Other vehicles,All years,Million,10
Kilometres Travelled,2021,Diesel,Co. Cork,Private cars,All years,Million,2374
Kilometres Travelled,2021,Diesel,Co. Cork,Goods vehicles,All years,Million,963
Kilometres Travelled,2021,Diesel,Co. Cork,Motor cycles,All years,Million,0
Kilometres Travelled,2021,Diesel,Co. Cork,Tractors & Machinery,All years,Million,170
Kilometres Travelled,2021,Diesel,Co. Cork,Small PSVs,All years,Million,37
Kilometres Travelled,2021,Diesel,Co. Cork,Large PSVs,All years,Million,14
Kilometres Travelled,2021,Diesel,Co. Cork,Exempt vehicles,All years,Million,30
Kilometres Travelled,2021,Diesel,Co. Cork,Other vehicles,All years,Million,35
Kilometres Travelled,2021,Diesel,Co. Kerry,Private cars,All years,Million,775
Kilometres Travelled,2021,Diesel,Co. Kerry,Goods vehicles,All years,Million,270
Kilometres Travelled,2021,Diesel,Co. Kerry,Motor cycles,All years,Million,0
Kilometres Travelled,2021,Diesel,Co. Kerry,Tractors & Machinery,All years,Million,64
Kilometres Travelled,2021,Diesel,Co. Kerry,Small PSVs,All years,Million,9
Kilometres Travelled,2021,Diesel,Co. Kerry,Large PSVs,All years,Million,7
Kilometres Travelled,2021,Diesel,Co. Kerry,Exempt vehicles,All years,Million,7
Kilometres Travelled,2021,Diesel,Co. Kerry,Other vehicles,All years,Million,13
Kilometres Travelled,2021,Diesel,Co. Limerick,Private cars,All years,Million,931
Kilometres Travelled,2021,Diesel,Co. Limerick,Goods vehicles,All years,Million,340
Kilometres Travelled,2021,Diesel,Co. Limerick,Motor cycles,All years,Million,0
Kilometres Travelled,2021,Diesel,Co. Limerick,Tractors & Machinery,All years,Million,57
Kilometres Travelled,2021,Diesel,Co. Limerick,Small PSVs,All years,Million,11
Kilometres Travelled,2021,Diesel,Co. Limerick,Large PSVs,All years,Million,6
Kilometres Travelled,2021,Diesel,Co. Limerick,Exempt vehicles,All years,Million,9
Kilometres Travelled,2021,Diesel,Co. Limerick,Other vehicles,All years,Million,12
Kilometres Travelled,2021,Diesel,Co. Tipperary,Private cars,All years,Million,996
Kilometres Travelled,2021,Diesel,Co. Tipperary,Goods vehicles,All years,Million,340
Kilometres Travelled,2021,Diesel,Co. Tipperary,Motor cycles,All years,Million,0
Kilometres Travelled,2021,Diesel,Co. Tipperary,Tractors & Machinery,All years,Million,87
Kilometres Travelled,2021,Diesel,Co. Tipperary,Small PSVs,All years,Million,6
Kilometres Travelled,2021,Diesel,Co. Tipperary,Large PSVs,All years,Million,8
Kilometres Travelled,2021,Diesel,Co. Tipperary,Exempt vehicles,All years,Million,9
Kilometres Travelled,2021,Diesel,Co. Tipperary,Other vehicles,All years,Million,13
Kilometres Travelled,2021,Diesel,Co. Waterford,Private cars,All years,Million,543
Kilometres Travelled,2021,Diesel,Co. Waterford,Goods vehicles,All years,Million,173
