Statistic Label,Year,Fuel Type,County of Ownership,Type of Vehicle,Year of Registration,UNIT,VALUE
Vehicle Population,2018,Petrol,Co. Cork,Exempt vehicles,All years,Number,874
Vehicle Population,2018,Petrol,Co. Cork,Other vehicles,All years,Number,3358
Vehicle Population,2018,Petrol,Co. Kerry,Private cars,All years,Number,31727
Vehicle Population,2018,Petrol,Co. Kerry,Goods vehicles,All years,Number,19
Vehicle Population,2018,Petrol,Co. Kerry,Motor cycles,All years,Number,1061
Vehicle Population,2018,Petrol,Co. Kerry,Tractors & Machinery,All years,Number,10
Vehicle Population,2018,Petrol,Co. Kerry,Small PSVs,All years,Number,28
Vehicle Population,2018,Petrol,Co. Kerry,Large PSVs,All years,Number,0
Vehicle Population,2018,Petrol,Co. Kerry,Exempt vehicles,All years,Number,188
Vehicle Population,2018,Petrol,Co. Kerry,Other vehicles,All years,Number,950
Vehicle Population,2018,Petrol,Co. Limerick,Private cars,All years,Number,40146
Vehicle Population,2018,Petrol,Co. Limerick,Goods vehicles,All years,Number,10
Vehicle Population,2018,Petrol,Co. Limerick,Motor cycles,All years,Number,1487
Vehicle Population,2018,Petrol,Co. Limerick,Tractors & Machinery,All years,Number,31
Vehicle Population,2018,Petrol,Co. Limerick,Small PSVs,All years,Number,125
Vehicle Population,2018,Petrol,Co. Limerick,Large PSVs,All years,Number,0
Vehicle Population,2018,Petrol,Co. Limerick,Exempt vehicles,All years,Number,301
Vehicle Population,2018,Petrol,Co. Limerick,Other vehicles,All years,Number,915
Vehicle Population,2018,Petrol,Co. Tipperary,Private cars,All years,Number,30855
Vehicle Population,2018,Petrol,Co. Tipperary,Goods vehicles,All years,Number,21
Vehicle Population,2018,Petrol,Co. Tipperary,Motor cycles,All years,Number,1408
Vehicle Population,2018,Petrol,Co. Tipperary,Tractors & Machinery,All years,Number,10
Vehicle Population,2018,Petrol,Co. Tipperary,Small PSVs,All years,Number,12
Vehicle Population,2018,Petrol,Co. Tipperary,Large PSVs,All years,Number,0
Vehicle Population,2018,Petrol,Co. Tipperary,Exempt vehicles,All years,Number,183
Vehicle Population,2018,Petrol,Co. Tipperary,Other vehicles,All years,Number,909
Vehicle Population,2018,Petrol,Co. Waterford,Private cars,All years,Number,27158
Vehicle Population,2018,Petrol,Co. Waterford,Goods vehicles,All years,Number,26
Vehicle Population,2018,Petrol,Co. Waterford,Motor cycles,All years,Number,1291
Vehicle Population,2018,Petrol,Co. Waterford,Tractors & Machinery,All years,Number,16
Vehicle Population,2018,Petrol,Co. Waterford,Small PSVs,All years,Number,44
Vehicle Population,2018,Petrol,Co. Waterford,Large PSVs,All years,Number,1
Vehicle Population,2018,Petrol,Co. Waterford,Exempt vehicles,All years,Number,118
Vehicle Population,2018,Petrol,Co. Waterford,Other vehicles,All years,Number,544
Vehicle Population,2018,Petrol,Co. Galway,Private cars,All years,Number,45821
Vehicle Population,2018,Petrol,Co. Galway,Goods vehicles,All years,Number,37
Vehicle Population,2018,Petrol,Co. Galway,Motor cycles,All years,Number,1457
Vehicle Population,2018,Petrol,Co. Galway,Tractors & Machinery,All years,Number,39
Vehicle Population,2018,Petrol,Co. Galway,Small PSVs,All years,Number,115
Vehicle Population,2018,Petrol,Co. Galway,Large PSVs,All years,Number,1
