STATISTIC Label,Year,Age Group,Sex,UNIT,VALUE
Population Estimates (Persons in April),2020,0 - 14 years,Male,Thousand,519.9
Population Estimates (Persons in April),2020,0 - 14 years,Female,Thousand,493.7
Population Estimates (Persons in April),2020,1 - 4 years,Male,Thousand,128.9
Population Estimates (Persons in April),2020,1 - 4 years,Female,Thousand,121.6
Population Estimates (Persons in April),2020,5 - 9 years,Male,Thousand,179.6
Population Estimates (Persons in April),2020,5 - 9 years,Female,Thousand,170.6
Population Estimates (Persons in April),2020,10 - 14 years,Male,Thousand,181.6
Population Estimates (Persons in April),2020,10 - 14 years,Female,Thousand,173.2
Population Estimates (Persons in April),2020,15 - 19 years,Male,Thousand,166.4
Population Estimates (Persons in April),2020,15 - 19 years,Female,Thousand,161
Population Estimates (Persons in April),2020,15 - 24 years,Male,Thousand,324.8
Population Estimates (Persons in April),2020,15 - 24 years,Female,Thousand,313.1
Population Estimates (Persons in April),2020,15 years and over,Male,Thousand,1971.8
Population Estimates (Persons in April),2020,15 years and over,Female,Thousand,2044.4
Population Estimates (Persons in April),2020,20 - 24 years,Male,Thousand,158.4
Population Estimates (Persons in April),2020,20 - 24 years,Female,Thousand,152.1
Population Estimates (Persons in April),2020,25 - 29 years,Male,Thousand,148.1
Population Estimates (Persons in April),2020,25 - 29 years,Female,Thousand,148.3
Population Estimates (Persons in April),2020,25 - 44 years,Male,Thousand,690.9
Population Estimates (Persons in April),2020,25 - 44 years,Female,Thousand,721.1
Population Estimates (Persons in April),2020,30 - 34 years,Male,Thousand,161.2
Population Estimates (Persons in April),2020,30 - 34 years,Female,Thousand,170.3
Population Estimates (Persons in April),2020,35 - 39 years,Male,Thousand,188.1
Population Estimates (Persons in April),2020,35 - 39 years,Female,Thousand,201.7
Population Estimates (Persons in April),2020,40 - 44 years,Male,Thousand,193.5
Population Estimates (Persons in April),2020,40 - 44 years,Female,Thousand,200.8
Population Estimates (Persons in April),2020,45 - 49 years,Male,Thousand,180.1
Population Estimates (Persons in April),2020,45 - 49 years,Female,Thousand,182.6
Population Estimates (Persons in April),2020,45 - 64 years,Male,Thousand,614.2
Population Estimates (Persons in April),2020,45 - 64 years,Female,Thousand,626
Population Estimates (Persons in April),2020,50 - 54 years,Male,Thousand,159.4
Population Estimates (Persons in April),2020,50 - 54 years,Female,Thousand,160.5
Population Estimates (Persons in April),2020,55 - 59 years,Male,Thousand,145.8
Population Estimates (Persons in April),2020,55 - 59 years,Female,Thousand,150.2
Population Estimates (Persons in April),2020,60 - 64 years,Male,Thousand,128.9
Population Estimates (Persons in April),2020,60 - 64 years,Female,Thousand,132.7
Population Estimates (Persons in April),2020,65 - 69 years,Male,Thousand,113
Population Estimates (Persons in April),2020,65 - 69 years,Female,Thousand,115.8
Population Estimates (Persons in April),2020,65 years and over,Male,Thousand,341.9
Population Estimates (Persons in April),2020,65 years and over,Female,Thousand,384.2
Population Estimates (Persons in April),2020,70 - 74 years,Male,Thousand,94.3
Population Estimates (Persons in April),2020,70 - 74 years,Female,Thousand,98.2
Population Estimates (Persons in April),2020,75 - 79 years,Male,Thousand,65.9
Population Estimates (Persons in April),2020,75 - 79 years,Female,Thousand,72.6
Population Estimates (Persons in April),2020,80 - 84 years,Male,Thousand,40.7
Population Estimates (Persons in April),2020,80 - 84 years,Female,Thousand,50.1
Population Estimates (Persons in April),2020,85 years and over,Male,Thousand,28
Population Estimates (Persons in April),2020,85 years and over,Female,Thousand,47.6
Population Estimates (Persons in April),2021,Under 1 year,Male,Thousand,28.4
Population Estimates (Persons in April),2021,Under 1 year,Female,Thousand,27.4
Population Estimates (Persons in April),2021,0 - 4 years,Male,Thousand,154.1
Population Estimates (Persons in April),2021,0 - 4 years,Female,Thousand,146.8
Population Estimates (Persons in April),2021,0 - 14 years,Male,Thousand,515.7
Population Estimates (Persons in April),2021,0 - 14 years,Female,Thousand,491.9
Population Estimates (Persons in April),2021,1 - 4 years,Male,Thousand,125.7
Population Estimates (Persons in April),2021,1 - 4 years,Female,Thousand,119.3
Population Estimates (Persons in April),2021,5 - 9 years,Male,Thousand,176
Population Estimates (Persons in April),2021,5 - 9 years,Female,Thousand,166.7
Population Estimates (Persons in April),2021,10 - 14 years,Male,Thousand,185.6
Population Estimates (Persons in April),2021,10 - 14 years,Female,Thousand,178.5
Population Estimates (Persons in April),2021,15 - 19 years,Male,Thousand,167.6
Population Estimates (Persons in April),2021,15 - 19 years,Female,Thousand,161.4
Population Estimates (Persons in April),2021,15 - 24 years,Male,Thousand,325.9
Population Estimates (Persons in April),2021,15 - 24 years,Female,Thousand,314.4
Population Estimates (Persons in April),2021,15 years and over,Male,Thousand,1998.3
Population Estimates (Persons in April),2021,15 years and over,Female,Thousand,2068.7
Population Estimates (Persons in April),2021,20 - 24 years,Male,Thousand,158.3
Population Estimates (Persons in April),2021,20 - 24 years,Female,Thousand,153.1
Population Estimates (Persons in April),2021,25 - 29 years,Male,Thousand,147.5
Population Estimates (Persons in April),2021,25 - 29 years,Female,Thousand,147.3
Population Estimates (Persons in April),2021,25 - 44 years,Male,Thousand,690.4
Population Estimates (Persons in April),2021,25 - 44 years,Female,Thousand,721.6
Population Estimates (Persons in April),2021,30 - 34 years,Male,Thousand,161
Population Estimates (Persons in April),2021,30 - 34 years,Female,Thousand,169.4
Population Estimates (Persons in April),2021,35 - 39 years,Male,Thousand,184.3
Population Estimates (Persons in April),2021,35 - 39 years,Female,Thousand,198.7
Population Estimates (Persons in April),2021,40 - 44 years,Male,Thousand,197.5
Population Estimates (Persons in April),2021,40 - 44 years,Female,Thousand,206.1
Population Estimates (Persons in April),2021,45 - 49 years,Male,Thousand,183.1
Population Estimates (Persons in April),2021,45 - 49 years,Female,Thousand,185.1
Population Estimates (Persons in April),2021,45 - 64 years,Male,Thousand,629.6
Population Estimates (Persons in April),2021,45 - 64 years,Female,Thousand,637.8
Population Estimates (Persons in April),2021,50 - 54 years,Male,Thousand,164.8
Population Estimates (Persons in April),2021,50 - 54 years,Female,Thousand,164.7
Population Estimates (Persons in April),2021,55 - 59 years,Male,Thousand,149
Population Estimates (Persons in April),2021,55 - 59 years,Female,Thousand,152.2
Population Estimates (Persons in April),2021,60 - 64 years,Male,Thousand,132.7
Population Estimates (Persons in April),2021,60 - 64 years,Female,Thousand,135.8
Population Estimates (Persons in April),2021,65 - 69 years,Male,Thousand,115.5
Population Estimates (Persons in April),2021,65 - 69 years,Female,Thousand,118.6
Population Estimates (Persons in April),2021,65 years and over,Male,Thousand,352.5
Population Estimates (Persons in April),2021,65 years and over,Female,Thousand,395
Population Estimates (Persons in April),2021,70 - 74 years,Male,Thousand,96.5
Population Estimates (Persons in April),2021,70 - 74 years,Female,Thousand,99.8
Population Estimates (Persons in April),2021,75 - 79 years,Male,Thousand,70.4
Population Estimates (Persons in April),2021,75 - 79 years,Female,Thousand,76.8
Population Estimates (Persons in April),2021,80 - 84 years,Male,Thousand,41.6
Population Estimates (Persons in April),2021,80 - 84 years,Female,Thousand,50.8
Population Estimates (Persons in April),2021,85 years and over,Male,Thousand,28.6
Population Estimates (Persons in April),2021,85 years and over,Female,Thousand,49
Population Estimates (Persons in April),2022,Under 1 year,Male,Thousand,29.5
Population Estimates (Persons in April),2022,Under 1 year,Female,Thousand,28.1
Population Estimates (Persons in April),2022,0 - 4 years,Male,Thousand,151.6
