,AtcoCode,PlateCode,CommonName,ShortCommonName,CommonNameGA,ShortCommonNameGA,Indicator,Street,NptgLocalityRef,GridType,Easting,Northing,Latitude,Longitude,StopType,BusStopType,TimingStatus,CompassPoint,StopAreaRef,AdministrativeAreaRef,Status,CreationDateTime,ModificationDateTime
13293,841000244,,Brú na Gruadán,Brú na Gruadán,Brú na Gruadán,Brú na Gruadán,,,E0841095,ITM,560915,656928,52.6621231,-8.577773,BCT,CUS,OTH,N,,841,active,1969-12-31T00:00:00.000,2021-05-21T14:36:07.000
13294,8410B6094701,609471,Brookfield Hall,Brookfield Hall,Ghort an tSrutháin,Ghort an tSrutháin,,,E0841095,ITM,561077,656614,52.6593127,-8.5753413,BCT,MKD,OTH,S,,841,active,1969-12-31T00:00:00.000,2020-09-25T11:55:16.000
13295,8410B609831,609831,Technology Park East,Tech Park East,Páirc Teicneolaíochta Thoir,Páirc Teic Thoir,,,E0841065,ITM,563560,657899,52.671034,-8.538783,BCT,MKD,OTH,N,,841,active,2020-12-23T00:00:00.000,2026-03-30T15:09:41.032
13296,8410B6030501,603051,Grange,Grange,An Ghráinsigh,An Ghráinsigh,,,E0841012,ITM,562877,643349,52.540218,-8.547248,BCT,CUS,OTH,N,,841,active,1969-12-31T00:00:00.000,2025-01-30T15:04:08.001
13297,841000240,,Castletroy Post Office,Post Office,,,,,E0841066,ITM,561413,657493,52.6672367,-8.5704778,BCT,CUS,OTH,N,,841,active,1969-12-31T00:00:00.000,2023-05-29T12:56:27.621
13298,841000243,,Brú na Gruadán,Brú na Gruadán,Brú na Gruadán,Brú na Gruadán,,,E0411188,ITM,560891,656980,52.662589,-8.578134,BCT,CUS,OTH,N,,841,active,1969-12-31T00:00:00.000,2021-05-21T12:37:21.000
13299,8410B609711,609711,UL East Gate,UL East Gate,Geata Thoir OL,Geata Thoir OL,,,E0841096,ITM,561724,657958,52.67144,-8.56593,BCT,CUS,OTH,N,,841,active,1969-12-31T00:00:00.000,2025-09-22T08:44:01.000
13300,8410B301141,301141,Castleconnell,Castleconnell,Caisleán Uí Chonaill,Cais Uí Chonaill,,,E0841769,ITM,566178,662535,52.71287,-8.500552,BCT,MKD,OTH,N,,841,active,2020-12-23T00:00:00.000,2025-01-30T15:04:08.001
13301,8410IR0071,,Castleconnell,,Caisleán Uí Chonaill,,,,E0841088,ITM,566344,662581,52.713293,-8.498101,RLY,,,,,841,active,1969-12-31T00:00:00.000,2022-05-24T12:27:11.865
13302,8410B332271,332271,Kilcornan,Kilcornan,Cill Churnáin,Cill Churnáin,,N69,E0841032,ITM,540557,652290,52.618593,-8.877848,BCT,CUS,OTH,E,841G000133,841,active,1969-12-31T00:00:00.000,2025-09-22T08:44:01.000
13303,8410B334811,334811,Doon,Doon,Dún Bleisce,Dún Bleisce,,Main Street,E0841004,ITM,583029,650359,52.604224,-8.250542,BCT,MKD,OTH,E,841G000211,841,active,1969-12-31T00:00:00.000,2025-01-30T15:04:08.001
13304,8410B334791,334791,Knockbrack East,Knockbrack East,An Cnoc Breac Thoir,An Cnoc Breac Thoir,,R503,E0841064,ITM,566515,659121,52.682208,-8.495218,BCT,CUS,OTH,NE,841G000215,841,active,1969-12-31T00:00:00.000,2025-09-22T08:44:01.000
