Statistic Label,Year,Type of Ownership,Engine Capacity cc,Fuel Type,County of Ownership,Year of Registration,UNIT,VALUE
Vehicle Population,2018,All owners,1001 - 1200 cc,Diesel,Co. Offaly,All years,Number,82
Vehicle Population,2018,All owners,1001 - 1200 cc,Diesel,Co. Roscommon,All years,Number,64
Vehicle Population,2018,All owners,1001 - 1200 cc,Diesel,Co. Sligo,All years,Number,55
Vehicle Population,2018,All owners,1001 - 1200 cc,Diesel,Co. Tipperary,All years,Number,142
Vehicle Population,2018,All owners,1001 - 1200 cc,Diesel,Co. Waterford,All years,Number,118
Vehicle Population,2018,All owners,1001 - 1200 cc,Diesel,Co. Westmeath,All years,Number,112
Vehicle Population,2018,All owners,1001 - 1200 cc,Diesel,Co. Wexford,All years,Number,157
Vehicle Population,2018,All owners,1001 - 1200 cc,Diesel,Co. Wicklow,All years,Number,142
Vehicle Population,2018,All owners,1001 - 1200 cc,Other fuel types,Co. Carlow,All years,Number,75
Vehicle Population,2018,All owners,1001 - 1200 cc,Other fuel types,Co. Cavan,All years,Number,83
Vehicle Population,2018,All owners,1001 - 1200 cc,Other fuel types,Co. Clare,All years,Number,148
Vehicle Population,2018,All owners,1001 - 1200 cc,Other fuel types,Co. Cork,All years,Number,881
Vehicle Population,2018,All owners,1001 - 1200 cc,Other fuel types,Co. Donegal,All years,Number,146
Vehicle Population,2018,All owners,1001 - 1200 cc,Other fuel types,Co. Dublin,All years,Number,1599
Vehicle Population,2018,All owners,1001 - 1200 cc,Other fuel types,Co. Galway,All years,Number,220
Vehicle Population,2018,All owners,1001 - 1200 cc,Other fuel types,Co. Kerry,All years,Number,217
Vehicle Population,2018,All owners,1001 - 1200 cc,Other fuel types,Co. Kildare,All years,Number,420
Vehicle Population,2018,All owners,1001 - 1200 cc,Other fuel types,Co. Kilkenny,All years,Number,91
Vehicle Population,2018,All owners,1001 - 1200 cc,Other fuel types,Co. Laois,All years,Number,76
Vehicle Population,2018,All owners,1001 - 1200 cc,Other fuel types,Co. Leitrim,All years,Number,26
Vehicle Population,2018,All owners,1001 - 1200 cc,Other fuel types,Co. Limerick,All years,Number,216
Vehicle Population,2018,All owners,1001 - 1200 cc,Other fuel types,Co. Longford,All years,Number,30
Vehicle Population,2018,All owners,1001 - 1200 cc,Other fuel types,Co. Louth,All years,Number,197
Vehicle Population,2018,All owners,1001 - 1200 cc,Other fuel types,Co. Mayo,All years,Number,40
Vehicle Population,2018,All owners,1001 - 1200 cc,Other fuel types,Co. Meath,All years,Number,372
Vehicle Population,2018,All owners,1001 - 1200 cc,Other fuel types,Co. Monaghan,All years,Number,43
Vehicle Population,2018,All owners,1001 - 1200 cc,Other fuel types,Co. Offaly,All years,Number,62
Vehicle Population,2018,All owners,1001 - 1200 cc,Other fuel types,Co. Roscommon,All years,Number,62
Vehicle Population,2018,All owners,1001 - 1200 cc,Other fuel types,Co. Sligo,All years,Number,61
Vehicle Population,2018,All owners,1001 - 1200 cc,Other fuel types,Co. Tipperary,All years,Number,162
Vehicle Population,2018,All owners,1001 - 1200 cc,Other fuel types,Co. Waterford,All years,Number,188
Vehicle Population,2018,All owners,1001 - 1200 cc,Other fuel types,Co. Westmeath,All years,Number,147
Vehicle Population,2018,All owners,1001 - 1200 cc,Other fuel types,Co. Wexford,All years,Number,257
Vehicle Population,2018,All owners,1001 - 1200 cc,Other fuel types,Co. Wicklow,All years,Number,159
Vehicle Population,2018,All owners,1201 - 1400 cc,Petrol,Co. Carlow,All years,Number,4799
Vehicle Population,2018,All owners,1201 - 1400 cc,Petrol,Co. Cavan,All years,Number,4593
Vehicle Population,2018,All owners,1201 - 1400 cc,Petrol,Co. Clare,All years,Number,10503
Vehicle Population,2018,All owners,1201 - 1400 cc,Petrol,Co. Cork,All years,Number,53424
Vehicle Population,2018,All owners,1201 - 1400 cc,Petrol,Co. Donegal,All years,Number,10671
Vehicle Population,2018,All owners,1201 - 1400 cc,Petrol,Co. Dublin,All years,Number,114073
Vehicle Population,2018,All owners,1201 - 1400 cc,Petrol,Co. Galway,All years,Number,20494
Vehicle Population,2018,All owners,1201 - 1400 cc,Petrol,Co. Kerry,All years,Number,14158
Vehicle Population,2018,All owners,1201 - 1400 cc,Petrol,Co. Kildare,All years,Number,17645
Vehicle Population,2018,All owners,1201 - 1400 cc,Petrol,Co. Kilkenny,All years,Number,7527
Vehicle Population,2018,All owners,1201 - 1400 cc,Petrol,Co. Laois,All years,Number,5289
Vehicle Population,2018,All owners,1201 - 1400 cc,Petrol,Co. Leitrim,All years,Number,2238
Vehicle Population,2018,All owners,1201 - 1400 cc,Petrol,Co. Limerick,All years,Number,17767
Vehicle Population,2018,All owners,1201 - 1400 cc,Petrol,Co. Longford,All years,Number,2507
Vehicle Population,2018,All owners,1201 - 1400 cc,Petrol,Co. Louth,All years,Number,8301
Vehicle Population,2018,All owners,1201 - 1400 cc,Petrol,Co. Mayo,All years,Number,10618
Vehicle Population,2018,All owners,1201 - 1400 cc,Petrol,Co. Meath,All years,Number,13858
Vehicle Population,2018,All owners,1201 - 1400 cc,Petrol,Co. Monaghan,All years,Number,3756
Vehicle Population,2018,All owners,1201 - 1400 cc,Petrol,Co. Offaly,All years,Number,5188
Vehicle Population,2018,All owners,1201 - 1400 cc,Petrol,Co. Roscommon,All years,Number,5050
Vehicle Population,2018,All owners,1201 - 1400 cc,Petrol,Co. Sligo,All years,Number,5309
Vehicle Population,2018,All owners,1201 - 1400 cc,Petrol,Co. Tipperary,All years,Number,13508
Vehicle Population,2018,All owners,1201 - 1400 cc,Petrol,Co. Waterford,All years,Number,11369
Vehicle Population,2018,All owners,1201 - 1400 cc,Petrol,Co. Westmeath,All years,Number,6162
Vehicle Population,2018,All owners,1201 - 1400 cc,Petrol,Co. Wexford,All years,Number,12455
Vehicle Population,2018,All owners,1201 - 1400 cc,Petrol,Co. Wicklow,All years,Number,12664
Vehicle Population,2018,All owners,1201 - 1400 cc,Diesel,Co. Carlow,All years,Number,1237
Vehicle Population,2018,All owners,1201 - 1400 cc,Diesel,Co. Cavan,All years,Number,1897
Vehicle Population,2018,All owners,1201 - 1400 cc,Diesel,Co. Clare,All years,Number,2575
Vehicle Population,2018,All owners,1201 - 1400 cc,Diesel,Co. Cork,All years,Number,10919
Vehicle Population,2018,All owners,1201 - 1400 cc,Diesel,Co. Donegal,All years,Number,4575
Vehicle Population,2018,All owners,1201 - 1400 cc,Diesel,Co. Dublin,All years,Number,9493
Vehicle Population,2018,All owners,1201 - 1400 cc,Diesel,Co. Galway,All years,Number,4975
Vehicle Population,2018,All owners,1201 - 1400 cc,Diesel,Co. Kerry,All years,Number,3257
Vehicle Population,2018,All owners,1201 - 1400 cc,Diesel,Co. Kildare,All years,Number,3439
Vehicle Population,2018,All owners,1201 - 1400 cc,Diesel,Co. Kilkenny,All years,Number,2169
Vehicle Population,2018,All owners,1201 - 1400 cc,Diesel,Co. Laois,All years,Number,1551
Vehicle Population,2018,All owners,1201 - 1400 cc,Diesel,Co. Leitrim,All years,Number,750
Vehicle Population,2018,All owners,1201 - 1400 cc,Diesel,Co. Limerick,All years,Number,4069
Vehicle Population,2018,All owners,1201 - 1400 cc,Diesel,Co. Longford,All years,Number,909
Vehicle Population,2018,All owners,1201 - 1400 cc,Diesel,Co. Louth,All years,Number,2423
Vehicle Population,2018,All owners,1201 - 1400 cc,Diesel,Co. Mayo,All years,Number,3380
Vehicle Population,2018,All owners,1201 - 1400 cc,Diesel,Co. Meath,All years,Number,3563
Vehicle Population,2018,All owners,1201 - 1400 cc,Diesel,Co. Monaghan,All years,Number,1474
Vehicle Population,2018,All owners,1201 - 1400 cc,Diesel,Co. Offaly,All years,Number,1912
Vehicle Population,2018,All owners,1201 - 1400 cc,Diesel,Co. Roscommon,All years,Number,1784
Vehicle Population,2018,All owners,1201 - 1400 cc,Diesel,Co. Sligo,All years,Number,1336
Vehicle Population,2018,All owners,1201 - 1400 cc,Diesel,Co. Tipperary,All years,Number,3965
Vehicle Population,2018,All owners,1201 - 1400 cc,Diesel,Co. Waterford,All years,Number,2052
Vehicle Population,2018,All owners,1201 - 1400 cc,Diesel,Co. Westmeath,All years,Number,2040
Vehicle Population,2018,All owners,1201 - 1400 cc,Diesel,Co. Wexford,All years,Number,3371
Vehicle Population,2018,All owners,1201 - 1400 cc,Diesel,Co. Wicklow,All years,Number,2275
Vehicle Population,2018,All owners,1201 - 1400 cc,Other fuel types,Co. Carlow,All years,Number,19
Vehicle Population,2018,All owners,1201 - 1400 cc,Other fuel types,Co. Cavan,All years,Number,21
Vehicle Population,2018,All owners,1201 - 1400 cc,Other fuel types,Co. Clare,All years,Number,51
Vehicle Population,2018,All owners,1201 - 1400 cc,Other fuel types,Co. Cork,All years,Number,222
Vehicle Population,2018,All owners,1201 - 1400 cc,Other fuel types,Co. Donegal,All years,Number,21
Vehicle Population,2018,All owners,1201 - 1400 cc,Other fuel types,Co. Dublin,All years,Number,1499
Vehicle Population,2018,All owners,1201 - 1400 cc,Other fuel types,Co. Galway,All years,Number,110
Vehicle Population,2018,All owners,1201 - 1400 cc,Other fuel types,Co. Kerry,All years,Number,39
Vehicle Population,2018,All owners,1201 - 1400 cc,Other fuel types,Co. Kildare,All years,Number,172
Vehicle Population,2018,All owners,1201 - 1400 cc,Other fuel types,Co. Kilkenny,All years,Number,41
Vehicle Population,2018,All owners,1201 - 1400 cc,Other fuel types,Co. Laois,All years,Number,49
Vehicle Population,2018,All owners,1201 - 1400 cc,Other fuel types,Co. Leitrim,All years,Number,9
Vehicle Population,2018,All owners,1201 - 1400 cc,Other fuel types,Co. Limerick,All years,Number,73
Vehicle Population,2018,All owners,1201 - 1400 cc,Other fuel types,Co. Longford,All years,Number,11
Vehicle Population,2018,All owners,1201 - 1400 cc,Other fuel types,Co. Louth,All years,Number,56
Vehicle Population,2018,All owners,1201 - 1400 cc,Other fuel types,Co. Mayo,All years,Number,31
Vehicle Population,2018,All owners,1201 - 1400 cc,Other fuel types,Co. Meath,All years,Number,130
Vehicle Population,2018,All owners,1201 - 1400 cc,Other fuel types,Co. Monaghan,All years,Number,9
Vehicle Population,2018,All owners,1201 - 1400 cc,Other fuel types,Co. Offaly,All years,Number,35
Vehicle Population,2018,All owners,1201 - 1400 cc,Other fuel types,Co. Roscommon,All years,Number,19
Vehicle Population,2018,All owners,1201 - 1400 cc,Other fuel types,Co. Sligo,All years,Number,15
Vehicle Population,2018,All owners,1201 - 1400 cc,Other fuel types,Co. Tipperary,All years,Number,62
Vehicle Population,2018,All owners,1201 - 1400 cc,Other fuel types,Co. Waterford,All years,Number,50
Vehicle Population,2018,All owners,1201 - 1400 cc,Other fuel types,Co. Westmeath,All years,Number,26
Vehicle Population,2018,All owners,1201 - 1400 cc,Other fuel types,Co. Wexford,All years,Number,66
Vehicle Population,2018,All owners,1201 - 1400 cc,Other fuel types,Co. Wicklow,All years,Number,117
Vehicle Population,2018,All owners,1401 - 1600 cc,Petrol,Co. Carlow,All years,Number,1951
Vehicle Population,2018,All owners,1401 - 1600 cc,Petrol,Co. Cavan,All years,Number,1974
Vehicle Population,2018,All owners,1401 - 1600 cc,Petrol,Co. Clare,All years,Number,4995
Vehicle Population,2018,All owners,1401 - 1600 cc,Petrol,Co. Cork,All years,Number,20914
Vehicle Population,2018,All owners,1401 - 1600 cc,Petrol,Co. Donegal,All years,Number,3800
Vehicle Population,2018,All owners,1401 - 1600 cc,Petrol,Co. Dublin,All years,Number,55508
Vehicle Population,2018,All owners,1401 - 1600 cc,Petrol,Co. Galway,All years,Number,8859
Vehicle Population,2018,All owners,1401 - 1600 cc,Petrol,Co. Kerry,All years,Number,6504
Vehicle Population,2018,All owners,1401 - 1600 cc,Petrol,Co. Kildare,All years,Number,8154
Vehicle Population,2018,All owners,1401 - 1600 cc,Petrol,Co. Kilkenny,All years,Number,2985
Vehicle Population,2018,All owners,1401 - 1600 cc,Petrol,Co. Laois,All years,Number,2300
Vehicle Population,2018,All owners,1401 - 1600 cc,Petrol,Co. Leitrim,All years,Number,852
Vehicle Population,2018,All owners,1401 - 1600 cc,Petrol,Co. Limerick,All years,Number,7743
Vehicle Population,2018,All owners,1401 - 1600 cc,Petrol,Co. Longford,All years,Number,1073
Vehicle Population,2018,All owners,1401 - 1600 cc,Petrol,Co. Louth,All years,Number,3207
Vehicle Population,2018,All owners,1401 - 1600 cc,Petrol,Co. Mayo,All years,Number,4100
Vehicle Population,2018,All owners,1401 - 1600 cc,Petrol,Co. Meath,All years,Number,6291
Vehicle Population,2018,All owners,1401 - 1600 cc,Petrol,Co. Monaghan,All years,Number,1242
Vehicle Population,2018,All owners,1401 - 1600 cc,Petrol,Co. Offaly,All years,Number,2287
Vehicle Population,2018,All owners,1401 - 1600 cc,Petrol,Co. Roscommon,All years,Number,1802
Vehicle Population,2018,All owners,1401 - 1600 cc,Petrol,Co. Sligo,All years,Number,2087
Vehicle Population,2018,All owners,1401 - 1600 cc,Petrol,Co. Tipperary,All years,Number,5901
Vehicle Population,2018,All owners,1401 - 1600 cc,Petrol,Co. Waterford,All years,Number,4686
Vehicle Population,2018,All owners,1401 - 1600 cc,Petrol,Co. Westmeath,All years,Number,2559
Vehicle Population,2018,All owners,1401 - 1600 cc,Petrol,Co. Wexford,All years,Number,4959
Vehicle Population,2018,All owners,1401 - 1600 cc,Petrol,Co. Wicklow,All years,Number,5863
