Statistic Label,Year,Type of Ownership,Engine Capacity cc,Fuel Type,County of Ownership,Year of Registration,UNIT,VALUE
Kilometres Travelled,2022,All owners,1601 - 1800 cc,Other fuel types,Co. Waterford,All years,Million,10
Kilometres Travelled,2022,All owners,1601 - 1800 cc,Other fuel types,Co. Westmeath,All years,Million,10
Kilometres Travelled,2022,All owners,1601 - 1800 cc,Other fuel types,Co. Wexford,All years,Million,13
Kilometres Travelled,2022,All owners,1601 - 1800 cc,Other fuel types,Co. Wicklow,All years,Million,15
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Petrol,Co. Carlow,All years,Million,3
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Petrol,Co. Cavan,All years,Million,3
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Petrol,Co. Clare,All years,Million,7
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Petrol,Co. Cork,All years,Million,40
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Petrol,Co. Donegal,All years,Million,6
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Petrol,Co. Dublin,All years,Million,109
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Petrol,Co. Galway,All years,Million,13
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Petrol,Co. Kerry,All years,Million,8
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Petrol,Co. Kildare,All years,Million,17
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Petrol,Co. Kilkenny,All years,Million,5
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Petrol,Co. Laois,All years,Million,4
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Petrol,Co. Leitrim,All years,Million,1
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Petrol,Co. Limerick,All years,Million,9
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Petrol,Co. Longford,All years,Million,2
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Petrol,Co. Louth,All years,Million,7
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Petrol,Co. Mayo,All years,Million,5
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Petrol,Co. Meath,All years,Million,14
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Petrol,Co. Monaghan,All years,Million,2
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Petrol,Co. Offaly,All years,Million,3
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Petrol,Co. Roscommon,All years,Million,3
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Petrol,Co. Sligo,All years,Million,3
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Petrol,Co. Tipperary,All years,Million,8
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Petrol,Co. Waterford,All years,Million,7
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Petrol,Co. Westmeath,All years,Million,4
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Petrol,Co. Wexford,All years,Million,8
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Petrol,Co. Wicklow,All years,Million,15
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Diesel,Co. Carlow,All years,Million,140
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Diesel,Co. Cavan,All years,Million,185
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Diesel,Co. Clare,All years,Million,258
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Diesel,Co. Cork,All years,Million,949
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Diesel,Co. Donegal,All years,Million,331
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Diesel,Co. Dublin,All years,Million,1488
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Diesel,Co. Galway,All years,Million,588
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Diesel,Co. Kerry,All years,Million,303
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Diesel,Co. Kildare,All years,Million,428
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Diesel,Co. Kilkenny,All years,Million,206
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Diesel,Co. Laois,All years,Million,180
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Diesel,Co. Leitrim,All years,Million,92
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Diesel,Co. Limerick,All years,Million,370
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Diesel,Co. Longford,All years,Million,107
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Diesel,Co. Louth,All years,Million,211
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Diesel,Co. Mayo,All years,Million,339
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Diesel,Co. Meath,All years,Million,410
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Diesel,Co. Monaghan,All years,Million,154
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Diesel,Co. Offaly,All years,Million,178
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Diesel,Co. Roscommon,All years,Million,180
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Diesel,Co. Sligo,All years,Million,146
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Diesel,Co. Tipperary,All years,Million,414
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Diesel,Co. Waterford,All years,Million,213
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Diesel,Co. Westmeath,All years,Million,219
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Diesel,Co. Wexford,All years,Million,336
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Diesel,Co. Wicklow,All years,Million,248
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Other fuel types,Co. Carlow,All years,Million,2
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Other fuel types,Co. Cavan,All years,Million,2
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Other fuel types,Co. Clare,All years,Million,4
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Other fuel types,Co. Cork,All years,Million,27
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Other fuel types,Co. Donegal,All years,Million,4
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Other fuel types,Co. Dublin,All years,Million,117
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Other fuel types,Co. Galway,All years,Million,12
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Other fuel types,Co. Kerry,All years,Million,4
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Other fuel types,Co. Kildare,All years,Million,15
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Other fuel types,Co. Kilkenny,All years,Million,3
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Other fuel types,Co. Laois,All years,Million,3
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Other fuel types,Co. Leitrim,All years,Million,1
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Other fuel types,Co. Limerick,All years,Million,6
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Other fuel types,Co. Longford,All years,Million,1
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Other fuel types,Co. Louth,All years,Million,5
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Other fuel types,Co. Mayo,All years,Million,3
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Other fuel types,Co. Meath,All years,Million,12
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Other fuel types,Co. Monaghan,All years,Million,2
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Other fuel types,Co. Offaly,All years,Million,2
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Other fuel types,Co. Roscommon,All years,Million,1
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Other fuel types,Co. Sligo,All years,Million,1
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Other fuel types,Co. Tipperary,All years,Million,4
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Other fuel types,Co. Waterford,All years,Million,5
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Other fuel types,Co. Westmeath,All years,Million,3
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Other fuel types,Co. Wexford,All years,Million,5
Kilometres Travelled,2022,All owners,1801 - 2000 cc,Other fuel types,Co. Wicklow,All years,Million,9
Kilometres Travelled,2022,All owners,Over 2000 cc,Petrol,Co. Carlow,All years,Million,0
Kilometres Travelled,2022,All owners,Over 2000 cc,Petrol,Co. Cavan,All years,Million,1
Kilometres Travelled,2022,All owners,Over 2000 cc,Petrol,Co. Clare,All years,Million,1
Kilometres Travelled,2022,All owners,Over 2000 cc,Petrol,Co. Cork,All years,Million,8
Kilometres Travelled,2022,All owners,Over 2000 cc,Petrol,Co. Donegal,All years,Million,1
Kilometres Travelled,2022,All owners,Over 2000 cc,Petrol,Co. Dublin,All years,Million,35
Kilometres Travelled,2022,All owners,Over 2000 cc,Petrol,Co. Galway,All years,Million,3
Kilometres Travelled,2022,All owners,Over 2000 cc,Petrol,Co. Kerry,All years,Million,2
Kilometres Travelled,2022,All owners,Over 2000 cc,Petrol,Co. Kildare,All years,Million,4
Kilometres Travelled,2022,All owners,Over 2000 cc,Petrol,Co. Kilkenny,All years,Million,1
Kilometres Travelled,2022,All owners,Over 2000 cc,Petrol,Co. Laois,All years,Million,1
Kilometres Travelled,2022,All owners,Over 2000 cc,Petrol,Co. Leitrim,All years,Million,0
Kilometres Travelled,2022,All owners,Over 2000 cc,Petrol,Co. Limerick,All years,Million,2
Kilometres Travelled,2022,All owners,Over 2000 cc,Petrol,Co. Longford,All years,Million,0
Kilometres Travelled,2022,All owners,Over 2000 cc,Petrol,Co. Louth,All years,Million,2
Kilometres Travelled,2022,All owners,Over 2000 cc,Petrol,Co. Mayo,All years,Million,1
Kilometres Travelled,2022,All owners,Over 2000 cc,Petrol,Co. Meath,All years,Million,4
Kilometres Travelled,2022,All owners,Over 2000 cc,Petrol,Co. Monaghan,All years,Million,1
Kilometres Travelled,2022,All owners,Over 2000 cc,Petrol,Co. Offaly,All years,Million,1
Kilometres Travelled,2022,All owners,Over 2000 cc,Petrol,Co. Roscommon,All years,Million,0
Kilometres Travelled,2022,All owners,Over 2000 cc,Petrol,Co. Sligo,All years,Million,0
Kilometres Travelled,2022,All owners,Over 2000 cc,Petrol,Co. Tipperary,All years,Million,2
Kilometres Travelled,2022,All owners,Over 2000 cc,Petrol,Co. Waterford,All years,Million,2
Kilometres Travelled,2022,All owners,Over 2000 cc,Petrol,Co. Westmeath,All years,Million,1
Kilometres Travelled,2022,All owners,Over 2000 cc,Petrol,Co. Wexford,All years,Million,2
Kilometres Travelled,2022,All owners,Over 2000 cc,Petrol,Co. Wicklow,All years,Million,4
Kilometres Travelled,2022,All owners,Over 2000 cc,Diesel,Co. Carlow,All years,Million,27
Kilometres Travelled,2022,All owners,Over 2000 cc,Diesel,Co. Cavan,All years,Million,30
Kilometres Travelled,2022,All owners,Over 2000 cc,Diesel,Co. Clare,All years,Million,46
Kilometres Travelled,2022,All owners,Over 2000 cc,Diesel,Co. Cork,All years,Million,192
Kilometres Travelled,2022,All owners,Over 2000 cc,Diesel,Co. Donegal,All years,Million,45
Kilometres Travelled,2022,All owners,Over 2000 cc,Diesel,Co. Dublin,All years,Million,382
Kilometres Travelled,2022,All owners,Over 2000 cc,Diesel,Co. Galway,All years,Million,100
Kilometres Travelled,2022,All owners,Over 2000 cc,Diesel,Co. Kerry,All years,Million,57
Kilometres Travelled,2022,All owners,Over 2000 cc,Diesel,Co. Kildare,All years,Million,110
Kilometres Travelled,2022,All owners,Over 2000 cc,Diesel,Co. Kilkenny,All years,Million,46
Kilometres Travelled,2022,All owners,Over 2000 cc,Diesel,Co. Laois,All years,Million,37
Kilometres Travelled,2022,All owners,Over 2000 cc,Diesel,Co. Leitrim,All years,Million,11
Kilometres Travelled,2022,All owners,Over 2000 cc,Diesel,Co. Limerick,All years,Million,75
Kilometres Travelled,2022,All owners,Over 2000 cc,Diesel,Co. Longford,All years,Million,17
Kilometres Travelled,2022,All owners,Over 2000 cc,Diesel,Co. Louth,All years,Million,46
Kilometres Travelled,2022,All owners,Over 2000 cc,Diesel,Co. Mayo,All years,Million,52
Kilometres Travelled,2022,All owners,Over 2000 cc,Diesel,Co. Meath,All years,Million,103
Kilometres Travelled,2022,All owners,Over 2000 cc,Diesel,Co. Monaghan,All years,Million,25
Kilometres Travelled,2022,All owners,Over 2000 cc,Diesel,Co. Offaly,All years,Million,32
Kilometres Travelled,2022,All owners,Over 2000 cc,Diesel,Co. Roscommon,All years,Million,25
Kilometres Travelled,2022,All owners,Over 2000 cc,Diesel,Co. Sligo,All years,Million,21
Kilometres Travelled,2022,All owners,Over 2000 cc,Diesel,Co. Tipperary,All years,Million,78
Kilometres Travelled,2022,All owners,Over 2000 cc,Diesel,Co. Waterford,All years,Million,48
Kilometres Travelled,2022,All owners,Over 2000 cc,Diesel,Co. Westmeath,All years,Million,37
Kilometres Travelled,2022,All owners,Over 2000 cc,Diesel,Co. Wexford,All years,Million,75
Kilometres Travelled,2022,All owners,Over 2000 cc,Diesel,Co. Wicklow,All years,Million,68
Kilometres Travelled,2022,All owners,Over 2000 cc,Other fuel types,Co. Carlow,All years,Million,3
Kilometres Travelled,2022,All owners,Over 2000 cc,Other fuel types,Co. Cavan,All years,Million,4
Kilometres Travelled,2022,All owners,Over 2000 cc,Other fuel types,Co. Clare,All years,Million,5
Kilometres Travelled,2022,All owners,Over 2000 cc,Other fuel types,Co. Cork,All years,Million,38
Kilometres Travelled,2022,All owners,Over 2000 cc,Other fuel types,Co. Donegal,All years,Million,6
Kilometres Travelled,2022,All owners,Over 2000 cc,Other fuel types,Co. Dublin,All years,Million,129
Kilometres Travelled,2022,All owners,Over 2000 cc,Other fuel types,Co. Galway,All years,Million,19
Kilometres Travelled,2022,All owners,Over 2000 cc,Other fuel types,Co. Kerry,All years,Million,7
Kilometres Travelled,2022,All owners,Over 2000 cc,Other fuel types,Co. Kildare,All years,Million,16
Kilometres Travelled,2022,All owners,Over 2000 cc,Other fuel types,Co. Kilkenny,All years,Million,4
Kilometres Travelled,2022,All owners,Over 2000 cc,Other fuel types,Co. Laois,All years,Million,3
Kilometres Travelled,2022,All owners,Over 2000 cc,Other fuel types,Co. Leitrim,All years,Million,1
Kilometres Travelled,2022,All owners,Over 2000 cc,Other fuel types,Co. Limerick,All years,Million,9
Kilometres Travelled,2022,All owners,Over 2000 cc,Other fuel types,Co. Longford,All years,Million,2
Kilometres Travelled,2022,All owners,Over 2000 cc,Other fuel types,Co. Louth,All years,Million,7
Kilometres Travelled,2022,All owners,Over 2000 cc,Other fuel types,Co. Mayo,All years,Million,6
Kilometres Travelled,2022,All owners,Over 2000 cc,Other fuel types,Co. Meath,All years,Million,16
Kilometres Travelled,2022,All owners,Over 2000 cc,Other fuel types,Co. Monaghan,All years,Million,2
Kilometres Travelled,2022,All owners,Over 2000 cc,Other fuel types,Co. Offaly,All years,Million,4
Kilometres Travelled,2022,All owners,Over 2000 cc,Other fuel types,Co. Roscommon,All years,Million,4
Kilometres Travelled,2022,All owners,Over 2000 cc,Other fuel types,Co. Sligo,All years,Million,2
Kilometres Travelled,2022,All owners,Over 2000 cc,Other fuel types,Co. Tipperary,All years,Million,8
Kilometres Travelled,2022,All owners,Over 2000 cc,Other fuel types,Co. Waterford,All years,Million,5
Kilometres Travelled,2022,All owners,Over 2000 cc,Other fuel types,Co. Westmeath,All years,Million,5
Kilometres Travelled,2022,All owners,Over 2000 cc,Other fuel types,Co. Wexford,All years,Million,6
Kilometres Travelled,2022,All owners,Over 2000 cc,Other fuel types,Co. Wicklow,All years,Million,11
Kilometres Travelled,2023,All owners,Up to 1000 cc,Petrol,Co. Carlow,All years,Million,28
Kilometres Travelled,2023,All owners,Up to 1000 cc,Petrol,Co. Cavan,All years,Million,32
Kilometres Travelled,2023,All owners,Up to 1000 cc,Petrol,Co. Clare,All years,Million,66
Kilometres Travelled,2023,All owners,Up to 1000 cc,Petrol,Co. Cork,All years,Million,349
Kilometres Travelled,2023,All owners,Up to 1000 cc,Petrol,Co. Donegal,All years,Million,65
Kilometres Travelled,2023,All owners,Up to 1000 cc,Petrol,Co. Dublin,All years,Million,649
Kilometres Travelled,2023,All owners,Up to 1000 cc,Petrol,Co. Galway,All years,Million,113
Kilometres Travelled,2023,All owners,Up to 1000 cc,Petrol,Co. Kerry,All years,Million,75
Kilometres Travelled,2023,All owners,Up to 1000 cc,Petrol,Co. Kildare,All years,Million,135
Kilometres Travelled,2023,All owners,Up to 1000 cc,Petrol,Co. Kilkenny,All years,Million,49
Kilometres Travelled,2023,All owners,Up to 1000 cc,Petrol,Co. Laois,All years,Million,36
Kilometres Travelled,2023,All owners,Up to 1000 cc,Petrol,Co. Leitrim,All years,Million,14
Kilometres Travelled,2023,All owners,Up to 1000 cc,Petrol,Co. Limerick,All years,Million,108
Kilometres Travelled,2023,All owners,Up to 1000 cc,Petrol,Co. Longford,All years,Million,16
Kilometres Travelled,2023,All owners,Up to 1000 cc,Petrol,Co. Louth,All years,Million,74
Kilometres Travelled,2023,All owners,Up to 1000 cc,Petrol,Co. Mayo,All years,Million,55
Kilometres Travelled,2023,All owners,Up to 1000 cc,Petrol,Co. Meath,All years,Million,103
Kilometres Travelled,2023,All owners,Up to 1000 cc,Petrol,Co. Monaghan,All years,Million,22
Kilometres Travelled,2023,All owners,Up to 1000 cc,Petrol,Co. Offaly,All years,Million,32
Kilometres Travelled,2023,All owners,Up to 1000 cc,Petrol,Co. Roscommon,All years,Million,79
Kilometres Travelled,2023,All owners,Up to 1000 cc,Petrol,Co. Sligo,All years,Million,32
Kilometres Travelled,2023,All owners,Up to 1000 cc,Petrol,Co. Tipperary,All years,Million,76
Kilometres Travelled,2023,All owners,Up to 1000 cc,Petrol,Co. Waterford,All years,Million,86
Kilometres Travelled,2023,All owners,Up to 1000 cc,Petrol,Co. Westmeath,All years,Million,38
Kilometres Travelled,2023,All owners,Up to 1000 cc,Petrol,Co. Wexford,All years,Million,89
Kilometres Travelled,2023,All owners,Up to 1000 cc,Petrol,Co. Wicklow,All years,Million,80
Kilometres Travelled,2023,All owners,Up to 1000 cc,Diesel,Co. Carlow,All years,Million,0
Kilometres Travelled,2023,All owners,Up to 1000 cc,Diesel,Co. Cavan,All years,Million,0
Kilometres Travelled,2023,All owners,Up to 1000 cc,Diesel,Co. Clare,All years,Million,0
Kilometres Travelled,2023,All owners,Up to 1000 cc,Diesel,Co. Cork,All years,Million,0
Kilometres Travelled,2023,All owners,Up to 1000 cc,Diesel,Co. Donegal,All years,Million,0
Kilometres Travelled,2023,All owners,Up to 1000 cc,Diesel,Co. Dublin,All years,Million,2
Kilometres Travelled,2023,All owners,Up to 1000 cc,Diesel,Co. Galway,All years,Million,0
Kilometres Travelled,2023,All owners,Up to 1000 cc,Diesel,Co. Kerry,All years,Million,0
Kilometres Travelled,2023,All owners,Up to 1000 cc,Diesel,Co. Kildare,All years,Million,0
Kilometres Travelled,2023,All owners,Up to 1000 cc,Diesel,Co. Kilkenny,All years,Million,0
Kilometres Travelled,2023,All owners,Up to 1000 cc,Diesel,Co. Laois,All years,Million,0
Kilometres Travelled,2023,All owners,Up to 1000 cc,Diesel,Co. Leitrim,All years,Million,0
Kilometres Travelled,2023,All owners,Up to 1000 cc,Diesel,Co. Limerick,All years,Million,0
Kilometres Travelled,2023,All owners,Up to 1000 cc,Diesel,Co. Longford,All years,Million,0
Kilometres Travelled,2023,All owners,Up to 1000 cc,Diesel,Co. Louth,All years,Million,0
Kilometres Travelled,2023,All owners,Up to 1000 cc,Diesel,Co. Mayo,All years,Million,0
Kilometres Travelled,2023,All owners,Up to 1000 cc,Diesel,Co. Meath,All years,Million,0
Kilometres Travelled,2023,All owners,Up to 1000 cc,Diesel,Co. Monaghan,All years,Million,0
Kilometres Travelled,2023,All owners,Up to 1000 cc,Diesel,Co. Offaly,All years,Million,0
Kilometres Travelled,2023,All owners,Up to 1000 cc,Diesel,Co. Roscommon,All years,Million,0
Kilometres Travelled,2023,All owners,Up to 1000 cc,Diesel,Co. Sligo,All years,Million,0
Kilometres Travelled,2023,All owners,Up to 1000 cc,Diesel,Co. Tipperary,All years,Million,0
Kilometres Travelled,2023,All owners,Up to 1000 cc,Diesel,Co. Waterford,All years,Million,0
Kilometres Travelled,2023,All owners,Up to 1000 cc,Diesel,Co. Westmeath,All years,Million,0
Kilometres Travelled,2023,All owners,Up to 1000 cc,Diesel,Co. Wexford,All years,Million,0
Kilometres Travelled,2023,All owners,Up to 1000 cc,Diesel,Co. Wicklow,All years,Million,0
Kilometres Travelled,2023,All owners,Up to 1000 cc,Other fuel types,Co. Carlow,All years,Million,8
Kilometres Travelled,2023,All owners,Up to 1000 cc,Other fuel types,Co. Cavan,All years,Million,7
Kilometres Travelled,2023,All owners,Up to 1000 cc,Other fuel types,Co. Clare,All years,Million,18
Kilometres Travelled,2023,All owners,Up to 1000 cc,Other fuel types,Co. Cork,All years,Million,90
Kilometres Travelled,2023,All owners,Up to 1000 cc,Other fuel types,Co. Donegal,All years,Million,11
Kilometres Travelled,2023,All owners,Up to 1000 cc,Other fuel types,Co. Dublin,All years,Million,308
Kilometres Travelled,2023,All owners,Up to 1000 cc,Other fuel types,Co. Galway,All years,Million,33
Kilometres Travelled,2023,All owners,Up to 1000 cc,Other fuel types,Co. Kerry,All years,Million,15
Kilometres Travelled,2023,All owners,Up to 1000 cc,Other fuel types,Co. Kildare,All years,Million,49
Kilometres Travelled,2023,All owners,Up to 1000 cc,Other fuel types,Co. Kilkenny,All years,Million,12
Kilometres Travelled,2023,All owners,Up to 1000 cc,Other fuel types,Co. Laois,All years,Million,10
Kilometres Travelled,2023,All owners,Up to 1000 cc,Other fuel types,Co. Leitrim,All years,Million,3
Kilometres Travelled,2023,All owners,Up to 1000 cc,Other fuel types,Co. Limerick,All years,Million,23
Kilometres Travelled,2023,All owners,Up to 1000 cc,Other fuel types,Co. Longford,All years,Million,3
Kilometres Travelled,2023,All owners,Up to 1000 cc,Other fuel types,Co. Louth,All years,Million,18
Kilometres Travelled,2023,All owners,Up to 1000 cc,Other fuel types,Co. Mayo,All years,Million,11
Kilometres Travelled,2023,All owners,Up to 1000 cc,Other fuel types,Co. Meath,All years,Million,39
Kilometres Travelled,2023,All owners,Up to 1000 cc,Other fuel types,Co. Monaghan,All years,Million,4
Kilometres Travelled,2023,All owners,Up to 1000 cc,Other fuel types,Co. Offaly,All years,Million,7
Kilometres Travelled,2023,All owners,Up to 1000 cc,Other fuel types,Co. Roscommon,All years,Million,5
Kilometres Travelled,2023,All owners,Up to 1000 cc,Other fuel types,Co. Sligo,All years,Million,8
Kilometres Travelled,2023,All owners,Up to 1000 cc,Other fuel types,Co. Tipperary,All years,Million,17
Kilometres Travelled,2023,All owners,Up to 1000 cc,Other fuel types,Co. Waterford,All years,Million,16
Kilometres Travelled,2023,All owners,Up to 1000 cc,Other fuel types,Co. Westmeath,All years,Million,12
Kilometres Travelled,2023,All owners,Up to 1000 cc,Other fuel types,Co. Wexford,All years,Million,23
Kilometres Travelled,2023,All owners,Up to 1000 cc,Other fuel types,Co. Wicklow,All years,Million,35
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Petrol,Co. Carlow,All years,Million,20
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Petrol,Co. Cavan,All years,Million,18
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Petrol,Co. Clare,All years,Million,42
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Petrol,Co. Cork,All years,Million,206
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Petrol,Co. Donegal,All years,Million,39
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Petrol,Co. Dublin,All years,Million,483
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Petrol,Co. Galway,All years,Million,74
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Petrol,Co. Kerry,All years,Million,52
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Petrol,Co. Kildare,All years,Million,97
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Petrol,Co. Kilkenny,All years,Million,32
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Petrol,Co. Laois,All years,Million,23
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Petrol,Co. Leitrim,All years,Million,9
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Petrol,Co. Limerick,All years,Million,68
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Petrol,Co. Longford,All years,Million,9
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Petrol,Co. Louth,All years,Million,51
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Petrol,Co. Mayo,All years,Million,32
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Petrol,Co. Meath,All years,Million,77
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Petrol,Co. Monaghan,All years,Million,15
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Petrol,Co. Offaly,All years,Million,23
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Petrol,Co. Roscommon,All years,Million,27
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Petrol,Co. Sligo,All years,Million,19
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Petrol,Co. Tipperary,All years,Million,54
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Petrol,Co. Waterford,All years,Million,58
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Petrol,Co. Westmeath,All years,Million,25
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Petrol,Co. Wexford,All years,Million,55
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Petrol,Co. Wicklow,All years,Million,63
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Diesel,Co. Carlow,All years,Million,1
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Diesel,Co. Cavan,All years,Million,1
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Diesel,Co. Clare,All years,Million,2
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Diesel,Co. Cork,All years,Million,8
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Diesel,Co. Donegal,All years,Million,3
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Diesel,Co. Dublin,All years,Million,8
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Diesel,Co. Galway,All years,Million,3
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Diesel,Co. Kerry,All years,Million,2
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Diesel,Co. Kildare,All years,Million,4
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Diesel,Co. Kilkenny,All years,Million,3
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Diesel,Co. Laois,All years,Million,2
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Diesel,Co. Leitrim,All years,Million,1
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Diesel,Co. Limerick,All years,Million,2
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Diesel,Co. Longford,All years,Million,1
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Diesel,Co. Louth,All years,Million,2
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Diesel,Co. Mayo,All years,Million,2
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Diesel,Co. Meath,All years,Million,3
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Diesel,Co. Monaghan,All years,Million,1
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Diesel,Co. Offaly,All years,Million,1
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Diesel,Co. Roscommon,All years,Million,1
Kilometres Travelled,2023,All owners,1001 - 1200 cc,Diesel,Co. Sligo,All years,Million,1
