Statistic Label,Week,Mode of Transport,UNIT,VALUE
Passenger Journeys,2019 Week 46,"Bus, excluding Dublin Metro",Number,783830
Passenger Journeys,2019 Week 46,Rail,Number,
Passenger Journeys,2019 Week 47,Dublin Metro Bus,Number,3192052
Passenger Journeys,2019 Week 47,"Bus, excluding Dublin Metro",Number,772760
Passenger Journeys,2019 Week 47,Rail,Number,
Passenger Journeys,2019 Week 48,Dublin Metro Bus,Number,3251721
Passenger Journeys,2019 Week 48,"Bus, excluding Dublin Metro",Number,794233
Passenger Journeys,2019 Week 48,Rail,Number,
Passenger Journeys,2019 Week 49,Dublin Metro Bus,Number,3215990
Passenger Journeys,2019 Week 49,"Bus, excluding Dublin Metro",Number,773085
Passenger Journeys,2019 Week 49,Rail,Number,
Passenger Journeys,2019 Week 50,Dublin Metro Bus,Number,3271738
Passenger Journeys,2019 Week 50,"Bus, excluding Dublin Metro",Number,768340
Passenger Journeys,2019 Week 50,Rail,Number,
Passenger Journeys,2019 Week 51,Dublin Metro Bus,Number,3166707
Passenger Journeys,2019 Week 51,"Bus, excluding Dublin Metro",Number,900418
Passenger Journeys,2019 Week 51,Rail,Number,
Passenger Journeys,2019 Week 52,Dublin Metro Bus,Number,1599369
Passenger Journeys,2019 Week 52,"Bus, excluding Dublin Metro",Number,397160
Passenger Journeys,2019 Week 52,Rail,Number,
Passenger Journeys,2019 Week 53,Dublin Metro Bus,Number,
Passenger Journeys,2019 Week 53,"Bus, excluding Dublin Metro",Number,
Passenger Journeys,2019 Week 53,Rail,Number,
Passenger Journeys,2020 Week 01,Dublin Metro Bus,Number,1970550
Passenger Journeys,2020 Week 01,"Bus, excluding Dublin Metro",Number,523817
Passenger Journeys,2020 Week 01,Rail,Number,697954
Passenger Journeys,2020 Week 02,Dublin Metro Bus,Number,2830713
Passenger Journeys,2020 Week 02,"Bus, excluding Dublin Metro",Number,652672
Passenger Journeys,2020 Week 02,Rail,Number,899175
Passenger Journeys,2020 Week 03,Dublin Metro Bus,Number,2907797
Passenger Journeys,2020 Week 03,"Bus, excluding Dublin Metro",Number,693102
Passenger Journeys,2020 Week 03,Rail,Number,925257
Passenger Journeys,2020 Week 04,Dublin Metro Bus,Number,3076009
Passenger Journeys,2020 Week 04,"Bus, excluding Dublin Metro",Number,747531
Passenger Journeys,2020 Week 04,Rail,Number,959703
Passenger Journeys,2020 Week 05,Dublin Metro Bus,Number,3152056
Passenger Journeys,2020 Week 05,"Bus, excluding Dublin Metro",Number,755189
Passenger Journeys,2020 Week 05,Rail,Number,1019494
Passenger Journeys,2020 Week 06,Dublin Metro Bus,Number,3104689
Passenger Journeys,2020 Week 06,"Bus, excluding Dublin Metro",Number,748401
Passenger Journeys,2020 Week 06,Rail,Number,1041672
Passenger Journeys,2020 Week 07,Dublin Metro Bus,Number,3097986
Passenger Journeys,2020 Week 07,"Bus, excluding Dublin Metro",Number,729974
Passenger Journeys,2020 Week 07,Rail,Number,908680
Passenger Journeys,2020 Week 08,Dublin Metro Bus,Number,3046425
Passenger Journeys,2020 Week 08,"Bus, excluding Dublin Metro",Number,728267
Passenger Journeys,2020 Week 08,Rail,Number,954421
Passenger Journeys,2020 Week 09,Dublin Metro Bus,Number,3145979
Passenger Journeys,2020 Week 09,"Bus, excluding Dublin Metro",Number,738222
Passenger Journeys,2020 Week 09,Rail,Number,946324
Passenger Journeys,2020 Week 10,Dublin Metro Bus,Number,3103704
Passenger Journeys,2020 Week 10,"Bus, excluding Dublin Metro",Number,755581
Passenger Journeys,2020 Week 10,Rail,Number,851347
Passenger Journeys,2020 Week 11,Dublin Metro Bus,Number,2451496
Passenger Journeys,2020 Week 11,"Bus, excluding Dublin Metro",Number,585892
Passenger Journeys,2020 Week 11,Rail,Number,907046
Passenger Journeys,2020 Week 12,Dublin Metro Bus,Number,828756
Passenger Journeys,2020 Week 12,"Bus, excluding Dublin Metro",Number,189509
Passenger Journeys,2020 Week 12,Rail,Number,627170
Passenger Journeys,2020 Week 13,Dublin Metro Bus,Number,593463
Passenger Journeys,2020 Week 13,"Bus, excluding Dublin Metro",Number,143429
Passenger Journeys,2020 Week 13,Rail,Number,77149
Passenger Journeys,2020 Week 14,Dublin Metro Bus,Number,365560
Passenger Journeys,2020 Week 14,"Bus, excluding Dublin Metro",Number,85598
Passenger Journeys,2020 Week 14,Rail,Number,26302
Passenger Journeys,2020 Week 15,Dublin Metro Bus,Number,374262
Passenger Journeys,2020 Week 15,"Bus, excluding Dublin Metro",Number,91529
Passenger Journeys,2020 Week 15,Rail,Number,23231
Passenger Journeys,2020 Week 16,Dublin Metro Bus,Number,361266
Passenger Journeys,2020 Week 16,"Bus, excluding Dublin Metro",Number,85871
Passenger Journeys,2020 Week 16,Rail,Number,28071
Passenger Journeys,2020 Week 17,Dublin Metro Bus,Number,408826
Passenger Journeys,2020 Week 17,"Bus, excluding Dublin Metro",Number,100755
Passenger Journeys,2020 Week 17,Rail,Number,32787
Passenger Journeys,2020 Week 18,Dublin Metro Bus,Number,433369
Passenger Journeys,2020 Week 18,"Bus, excluding Dublin Metro",Number,106193
Passenger Journeys,2020 Week 18,Rail,Number,35354
Passenger Journeys,2020 Week 19,Dublin Metro Bus,Number,449887
Passenger Journeys,2020 Week 19,"Bus, excluding Dublin Metro",Number,110131
Passenger Journeys,2020 Week 19,Rail,Number,38142
Passenger Journeys,2020 Week 20,Dublin Metro Bus,Number,504279
Passenger Journeys,2020 Week 20,"Bus, excluding Dublin Metro",Number,122686
Passenger Journeys,2020 Week 20,Rail,Number,44431
Passenger Journeys,2020 Week 21,Dublin Metro Bus,Number,631921
Passenger Journeys,2020 Week 21,"Bus, excluding Dublin Metro",Number,149607
Passenger Journeys,2020 Week 21,Rail,Number,69766
Passenger Journeys,2020 Week 22,Dublin Metro Bus,Number,740034
Passenger Journeys,2020 Week 22,"Bus, excluding Dublin Metro",Number,171072
Passenger Journeys,2020 Week 22,Rail,Number,98967
Passenger Journeys,2020 Week 23,Dublin Metro Bus,Number,717292
Passenger Journeys,2020 Week 23,"Bus, excluding Dublin Metro",Number,169871
Passenger Journeys,2020 Week 23,Rail,Number,101021
Passenger Journeys,2020 Week 24,Dublin Metro Bus,Number,885658
Passenger Journeys,2020 Week 24,"Bus, excluding Dublin Metro",Number,219384
Passenger Journeys,2020 Week 24,Rail,Number,138791
Passenger Journeys,2020 Week 25,Dublin Metro Bus,Number,1004952
Passenger Journeys,2020 Week 25,"Bus, excluding Dublin Metro",Number,250295
Passenger Journeys,2020 Week 25,Rail,Number,170670
Passenger Journeys,2020 Week 26,Dublin Metro Bus,Number,1050419
Passenger Journeys,2020 Week 26,"Bus, excluding Dublin Metro",Number,259592
Passenger Journeys,2020 Week 26,Rail,Number,199508
Passenger Journeys,2020 Week 27,Dublin Metro Bus,Number,1215359
Passenger Journeys,2020 Week 27,"Bus, excluding Dublin Metro",Number,305350
Passenger Journeys,2020 Week 27,Rail,Number,261970
Passenger Journeys,2020 Week 28,Dublin Metro Bus,Number,1301584
Passenger Journeys,2020 Week 28,"Bus, excluding Dublin Metro",Number,338931
Passenger Journeys,2020 Week 28,Rail,Number,261970
Passenger Journeys,2020 Week 29,Dublin Metro Bus,Number,1317821
Passenger Journeys,2020 Week 29,"Bus, excluding Dublin Metro",Number,347104
Passenger Journeys,2020 Week 29,Rail,Number,278033
Passenger Journeys,2020 Week 30,Dublin Metro Bus,Number,1345580
Passenger Journeys,2020 Week 30,"Bus, excluding Dublin Metro",Number,358836
Passenger Journeys,2020 Week 30,Rail,Number,286232
Passenger Journeys,2020 Week 31,Dublin Metro Bus,Number,1390530
Passenger Journeys,2020 Week 31,"Bus, excluding Dublin Metro",Number,369536
Passenger Journeys,2020 Week 31,Rail,Number,305731
Passenger Journeys,2020 Week 32,Dublin Metro Bus,Number,1340117
Passenger Journeys,2020 Week 32,"Bus, excluding Dublin Metro",Number,357425
Passenger Journeys,2020 Week 32,Rail,Number,323489
Passenger Journeys,2020 Week 33,Dublin Metro Bus,Number,1404722
Passenger Journeys,2020 Week 33,"Bus, excluding Dublin Metro",Number,382286
Passenger Journeys,2020 Week 33,Rail,Number,295557
Passenger Journeys,2020 Week 34,Dublin Metro Bus,Number,1369602
Passenger Journeys,2020 Week 34,"Bus, excluding Dublin Metro",Number,354355
Passenger Journeys,2020 Week 34,Rail,Number,258999
Passenger Journeys,2020 Week 35,Dublin Metro Bus,Number,1448462
Passenger Journeys,2020 Week 35,"Bus, excluding Dublin Metro",Number,390235
Passenger Journeys,2020 Week 35,Rail,Number,285663
Passenger Journeys,2020 Week 36,Dublin Metro Bus,Number,1580362
Passenger Journeys,2020 Week 36,"Bus, excluding Dublin Metro",Number,418714
Passenger Journeys,2020 Week 36,Rail,Number,332558
Passenger Journeys,2020 Week 37,Dublin Metro Bus,Number,1642110
Passenger Journeys,2020 Week 37,"Bus, excluding Dublin Metro",Number,427899
Passenger Journeys,2020 Week 37,Rail,Number,346681
Passenger Journeys,2020 Week 38,Dublin Metro Bus,Number,1578521
Passenger Journeys,2020 Week 38,"Bus, excluding Dublin Metro",Number,432729
Passenger Journeys,2020 Week 38,Rail,Number,323907
Passenger Journeys,2020 Week 39,Dublin Metro Bus,Number,1517678
Passenger Journeys,2020 Week 39,"Bus, excluding Dublin Metro",Number,438357
Passenger Journeys,2020 Week 39,Rail,Number,289803
Passenger Journeys,2020 Week 40,Dublin Metro Bus,Number,1489761
Passenger Journeys,2020 Week 40,"Bus, excluding Dublin Metro",Number,435417
Passenger Journeys,2020 Week 40,Rail,Number,284420
Passenger Journeys,2020 Week 41,Dublin Metro Bus,Number,1554561
Passenger Journeys,2020 Week 41,"Bus, excluding Dublin Metro",Number,405986
Passenger Journeys,2020 Week 41,Rail,Number,275531
Passenger Journeys,2020 Week 42,Dublin Metro Bus,Number,1535839
Passenger Journeys,2020 Week 42,"Bus, excluding Dublin Metro",Number,382078
Passenger Journeys,2020 Week 42,Rail,Number,263936
Passenger Journeys,2020 Week 43,Dublin Metro Bus,Number,1297841
Passenger Journeys,2020 Week 43,"Bus, excluding Dublin Metro",Number,319938
Passenger Journeys,2020 Week 43,Rail,Number,197097
Passenger Journeys,2020 Week 44,Dublin Metro Bus,Number,868428
Passenger Journeys,2020 Week 44,"Bus, excluding Dublin Metro",Number,204748
Passenger Journeys,2020 Week 44,Rail,Number,118406
Passenger Journeys,2020 Week 45,Dublin Metro Bus,Number,1163897
Passenger Journeys,2020 Week 45,"Bus, excluding Dublin Metro",Number,289411
Passenger Journeys,2020 Week 45,Rail,Number,181839
Passenger Journeys,2020 Week 46,Dublin Metro Bus,Number,1169742
Passenger Journeys,2020 Week 46,"Bus, excluding Dublin Metro",Number,291201
Passenger Journeys,2020 Week 46,Rail,Number,176067
Passenger Journeys,2020 Week 47,Dublin Metro Bus,Number,1207986
Passenger Journeys,2020 Week 47,"Bus, excluding Dublin Metro",Number,302115
Passenger Journeys,2020 Week 47,Rail,Number,197427
Passenger Journeys,2020 Week 48,Dublin Metro Bus,Number,1241445
Passenger Journeys,2020 Week 48,"Bus, excluding Dublin Metro",Number,307535
Passenger Journeys,2020 Week 48,Rail,Number,194005
Passenger Journeys,2020 Week 49,Dublin Metro Bus,Number,1586454
Passenger Journeys,2020 Week 49,"Bus, excluding Dublin Metro",Number,407988
Passenger Journeys,2020 Week 49,Rail,Number,295306
Passenger Journeys,2020 Week 50,Dublin Metro Bus,Number,1682988
Passenger Journeys,2020 Week 50,"Bus, excluding Dublin Metro",Number,436740
Passenger Journeys,2020 Week 50,Rail,Number,315393
Passenger Journeys,2020 Week 51,Dublin Metro Bus,Number,1745336
