Statistic Label,Month,Type of Vehicle Registration,Type of Fuel,UNIT,VALUE
New Vehicles Licensed for the First Time,2015 February,New Goods Vehicles,Petrol and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2015 February,New Goods Vehicles,Electric,Number,0
New Vehicles Licensed for the First Time,2015 February,New Goods Vehicles,Petrol or Diesel plug-in hybrid electric,Number,0
New Vehicles Licensed for the First Time,2015 February,New Goods Vehicles,Diesel and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2015 February,New Tractors,All fuel types,Number,172
New Vehicles Licensed for the First Time,2015 February,New Tractors,Petrol,Number,0
New Vehicles Licensed for the First Time,2015 February,New Tractors,Diesel,Number,172
New Vehicles Licensed for the First Time,2015 February,New Tractors,Other fuel types,Number,0
New Vehicles Licensed for the First Time,2015 February,New Tractors,Petrol and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2015 February,New Tractors,Electric,Number,0
New Vehicles Licensed for the First Time,2015 February,New Tractors,Petrol or Diesel plug-in hybrid electric,Number,0
New Vehicles Licensed for the First Time,2015 February,New Tractors,Diesel and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2015 February,New Agriculture Tractors,All fuel types,Number,
New Vehicles Licensed for the First Time,2015 February,New Agriculture Tractors,Petrol,Number,
New Vehicles Licensed for the First Time,2015 February,New Agriculture Tractors,Diesel,Number,
New Vehicles Licensed for the First Time,2015 February,New Agriculture Tractors,Other fuel types,Number,
New Vehicles Licensed for the First Time,2015 February,New Agriculture Tractors,Petrol and electric hybrid,Number,
New Vehicles Licensed for the First Time,2015 February,New Agriculture Tractors,Electric,Number,
New Vehicles Licensed for the First Time,2015 February,New Agriculture Tractors,Petrol or Diesel plug-in hybrid electric,Number,
New Vehicles Licensed for the First Time,2015 February,New Agriculture Tractors,Diesel and electric hybrid,Number,
New Vehicles Licensed for the First Time,2015 February,New General Haulage Tractors,All fuel types,Number,
New Vehicles Licensed for the First Time,2015 February,New General Haulage Tractors,Petrol,Number,
New Vehicles Licensed for the First Time,2015 February,New General Haulage Tractors,Diesel,Number,
New Vehicles Licensed for the First Time,2015 February,New General Haulage Tractors,Other fuel types,Number,
New Vehicles Licensed for the First Time,2015 February,New General Haulage Tractors,Petrol and electric hybrid,Number,
New Vehicles Licensed for the First Time,2015 February,New General Haulage Tractors,Electric,Number,
New Vehicles Licensed for the First Time,2015 February,New General Haulage Tractors,Petrol or Diesel plug-in hybrid electric,Number,
New Vehicles Licensed for the First Time,2015 February,New General Haulage Tractors,Diesel and electric hybrid,Number,
New Vehicles Licensed for the First Time,2015 February,New Motor Cycles,All fuel types,Number,75
New Vehicles Licensed for the First Time,2015 February,New Motor Cycles,Petrol,Number,75
New Vehicles Licensed for the First Time,2015 February,New Motor Cycles,Diesel,Number,0
New Vehicles Licensed for the First Time,2015 February,New Motor Cycles,Other fuel types,Number,0
New Vehicles Licensed for the First Time,2015 February,New Motor Cycles,Petrol and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2015 February,New Motor Cycles,Electric,Number,0
New Vehicles Licensed for the First Time,2015 February,New Motor Cycles,Petrol or Diesel plug-in hybrid electric,Number,0
New Vehicles Licensed for the First Time,2015 February,New Motor Cycles,Diesel and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2015 February,New Exempt Vehicles,All fuel types,Number,827
New Vehicles Licensed for the First Time,2015 February,New Exempt Vehicles,Petrol,Number,91
New Vehicles Licensed for the First Time,2015 February,New Exempt Vehicles,Diesel,Number,733
New Vehicles Licensed for the First Time,2015 February,New Exempt Vehicles,Other fuel types,Number,0
New Vehicles Licensed for the First Time,2015 February,New Exempt Vehicles,Petrol and electric hybrid,Number,3
New Vehicles Licensed for the First Time,2015 February,New Exempt Vehicles,Electric,Number,0
New Vehicles Licensed for the First Time,2015 February,New Exempt Vehicles,Petrol or Diesel plug-in hybrid electric,Number,0
New Vehicles Licensed for the First Time,2015 February,New Exempt Vehicles,Diesel and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2015 February,New Public Service Vehicles,All fuel types,Number,65
New Vehicles Licensed for the First Time,2015 February,New Public Service Vehicles,Petrol,Number,0
New Vehicles Licensed for the First Time,2015 February,New Public Service Vehicles,Diesel,Number,65
New Vehicles Licensed for the First Time,2015 February,New Public Service Vehicles,Other fuel types,Number,0
New Vehicles Licensed for the First Time,2015 February,New Public Service Vehicles,Petrol and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2015 February,New Public Service Vehicles,Electric,Number,0
New Vehicles Licensed for the First Time,2015 February,New Public Service Vehicles,Petrol or Diesel plug-in hybrid electric,Number,0
New Vehicles Licensed for the First Time,2015 February,New Public Service Vehicles,Diesel and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2015 February,New Small Public Service Vehicles,All fuel types,Number,49
New Vehicles Licensed for the First Time,2015 February,New Small Public Service Vehicles,Petrol,Number,0
New Vehicles Licensed for the First Time,2015 February,New Small Public Service Vehicles,Diesel,Number,49
New Vehicles Licensed for the First Time,2015 February,New Small Public Service Vehicles,Other fuel types,Number,0
New Vehicles Licensed for the First Time,2015 February,New Small Public Service Vehicles,Petrol and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2015 February,New Small Public Service Vehicles,Electric,Number,0
New Vehicles Licensed for the First Time,2015 February,New Small Public Service Vehicles,Petrol or Diesel plug-in hybrid electric,Number,0
New Vehicles Licensed for the First Time,2015 February,New Small Public Service Vehicles,Diesel and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2015 February,New Large Public Service Vehicles,All fuel types,Number,16
New Vehicles Licensed for the First Time,2015 February,New Large Public Service Vehicles,Petrol,Number,0
New Vehicles Licensed for the First Time,2015 February,New Large Public Service Vehicles,Diesel,Number,16
New Vehicles Licensed for the First Time,2015 February,New Large Public Service Vehicles,Other fuel types,Number,0
New Vehicles Licensed for the First Time,2015 February,New Large Public Service Vehicles,Petrol and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2015 February,New Large Public Service Vehicles,Electric,Number,0
New Vehicles Licensed for the First Time,2015 February,New Large Public Service Vehicles,Petrol or Diesel plug-in hybrid electric,Number,0
New Vehicles Licensed for the First Time,2015 February,New Large Public Service Vehicles,Diesel and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2015 February,New Combine Harvestors,All fuel types,Number,
New Vehicles Licensed for the First Time,2015 February,New Combine Harvestors,Petrol,Number,
New Vehicles Licensed for the First Time,2015 February,New Combine Harvestors,Diesel,Number,
New Vehicles Licensed for the First Time,2015 February,New Combine Harvestors,Other fuel types,Number,
New Vehicles Licensed for the First Time,2015 February,New Combine Harvestors,Petrol and electric hybrid,Number,
New Vehicles Licensed for the First Time,2015 February,New Combine Harvestors,Electric,Number,
New Vehicles Licensed for the First Time,2015 February,New Combine Harvestors,Petrol or Diesel plug-in hybrid electric,Number,
New Vehicles Licensed for the First Time,2015 February,New Combine Harvestors,Diesel and electric hybrid,Number,
New Vehicles Licensed for the First Time,2015 February,New Excavators and Trench Diggers,All fuel types,Number,
New Vehicles Licensed for the First Time,2015 February,New Excavators and Trench Diggers,Petrol,Number,
New Vehicles Licensed for the First Time,2015 February,New Excavators and Trench Diggers,Diesel,Number,
New Vehicles Licensed for the First Time,2015 February,New Excavators and Trench Diggers,Other fuel types,Number,
New Vehicles Licensed for the First Time,2015 February,New Excavators and Trench Diggers,Petrol and electric hybrid,Number,
New Vehicles Licensed for the First Time,2015 February,New Excavators and Trench Diggers,Electric,Number,
New Vehicles Licensed for the First Time,2015 February,New Excavators and Trench Diggers,Petrol or Diesel plug-in hybrid electric,Number,
New Vehicles Licensed for the First Time,2015 February,New Excavators and Trench Diggers,Diesel and electric hybrid,Number,
New Vehicles Licensed for the First Time,2015 February,New Machines or Contrivances,All fuel types,Number,39
New Vehicles Licensed for the First Time,2015 February,New Machines or Contrivances,Petrol,Number,0
New Vehicles Licensed for the First Time,2015 February,New Machines or Contrivances,Diesel,Number,39
New Vehicles Licensed for the First Time,2015 February,New Machines or Contrivances,Other fuel types,Number,0
New Vehicles Licensed for the First Time,2015 February,New Machines or Contrivances,Petrol and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2015 February,New Machines or Contrivances,Electric,Number,0
New Vehicles Licensed for the First Time,2015 February,New Machines or Contrivances,Petrol or Diesel plug-in hybrid electric,Number,0
New Vehicles Licensed for the First Time,2015 February,New Machines or Contrivances,Diesel and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2015 February,Other Classes New Other Vehicles,All fuel types,Number,12
New Vehicles Licensed for the First Time,2015 February,Other Classes New Other Vehicles,Petrol,Number,2
New Vehicles Licensed for the First Time,2015 February,Other Classes New Other Vehicles,Diesel,Number,10
New Vehicles Licensed for the First Time,2015 February,Other Classes New Other Vehicles,Other fuel types,Number,0
New Vehicles Licensed for the First Time,2015 February,Other Classes New Other Vehicles,Petrol and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2015 February,Other Classes New Other Vehicles,Electric,Number,0
New Vehicles Licensed for the First Time,2015 February,Other Classes New Other Vehicles,Petrol or Diesel plug-in hybrid electric,Number,0
New Vehicles Licensed for the First Time,2015 February,Other Classes New Other Vehicles,Diesel and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2015 March,All Vehicles,All fuel types,Number,20659
New Vehicles Licensed for the First Time,2015 March,All Vehicles,Petrol,Number,5289
New Vehicles Licensed for the First Time,2015 March,All Vehicles,Diesel,Number,15139
New Vehicles Licensed for the First Time,2015 March,All Vehicles,Other fuel types,Number,1
New Vehicles Licensed for the First Time,2015 March,All Vehicles,Petrol and electric hybrid,Number,147
New Vehicles Licensed for the First Time,2015 March,All Vehicles,Electric,Number,58
New Vehicles Licensed for the First Time,2015 March,All Vehicles,Petrol or Diesel plug-in hybrid electric,Number,10
New Vehicles Licensed for the First Time,2015 March,All Vehicles,Diesel and electric hybrid,Number,15
New Vehicles Licensed for the First Time,2015 March,New Private Cars,All fuel types,Number,17054
New Vehicles Licensed for the First Time,2015 March,New Private Cars,Petrol,Number,5029
New Vehicles Licensed for the First Time,2015 March,New Private Cars,Diesel,Number,11804
New Vehicles Licensed for the First Time,2015 March,New Private Cars,Other fuel types,Number,1
New Vehicles Licensed for the First Time,2015 March,New Private Cars,Petrol and electric hybrid,Number,140
New Vehicles Licensed for the First Time,2015 March,New Private Cars,Electric,Number,56
New Vehicles Licensed for the First Time,2015 March,New Private Cars,Petrol or Diesel plug-in hybrid electric,Number,10
New Vehicles Licensed for the First Time,2015 March,New Private Cars,Diesel and electric hybrid,Number,14
New Vehicles Licensed for the First Time,2015 March,New Goods Vehicles,All fuel types,Number,2490
New Vehicles Licensed for the First Time,2015 March,New Goods Vehicles,Petrol,Number,0
New Vehicles Licensed for the First Time,2015 March,New Goods Vehicles,Diesel,Number,2489
New Vehicles Licensed for the First Time,2015 March,New Goods Vehicles,Other fuel types,Number,0
New Vehicles Licensed for the First Time,2015 March,New Goods Vehicles,Petrol and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2015 March,New Goods Vehicles,Electric,Number,1
